Drug,Enzyme,Action,Database,DrugID
adefovir dipivoxil,SLC22A6,"substrate,inhibitor",transporter,
adefovir dipivoxil,SLC22A8,substrate,transporter,
adefovir dipivoxil,CYP2C9,inhibitor,SuperCYP,142340996
adefovir dipivoxil,CYP3A4,inhibitor,SuperCYP,142340996
ademetionin,CYP2E1,inhibitor,SuperCYP,29908030
ademetionin,CYP2E1,substrate,SuperCYP,29908030
ademetionin,CYP3A4,inhibitor,SuperCYP,29908030
ademetionine,CYP2E1,inhibitor,SuperCYP,29908030
ademetionine,CYP2E1,substrate,SuperCYP,29908030
ademetionine,CYP3A4,inhibitor,SuperCYP,29908030
adinazolam,CYP2C19,substrate,DrugBank,DB00546
adinazolam,CYP3A4,substrate,DrugBank,DB00546
adinazolam,CYP2C19,substrate,SuperCYP,37115325
adinazolam,CYP3A4,substrate,SuperCYP,37115325
ado-trastuzumab emtansine,CYP3A5,substrate,DrugBank,DB05773
ado-trastuzumab emtansine,CYP3A4,substrate,DrugBank,DB05773
adrenaline - lidocaine mixt,CYP1A2,substrate,KEGG,D04052
adrenaline - lidocaine mixt,CYP3A4,substrate,KEGG,D04052
afatinib,ABCG2,"substrate,inhibitor",transporter,
agmatine,SLC22A2,substrate,transporter,
agomelatine,CYP1A2,inhibitor,DrugBank,DB06594
agomelatine,CYP2C9,inhibitor,DrugBank,DB06594
ajmaline,CYP2D6,"substrate,inhibitor",DrugBank,DB01426
ajmaline,CYP2D6,inhibitor,SuperCYP,4360127
ajmaline,CYP2D6,substrate,SuperCYP,4360127
ajmaline,CYP2D6,substrate,KEGG,D00199
albendazole,CYP1A1,inducer,DrugBank,DB00518
albendazole,CYP1A2,"substrate,inhibitor, inducer",DrugBank,DB00518
albendazole,CYP3A4,substrate,DrugBank,DB00518
albendazole,CYP1A1,inducer,SuperCYP,54965218
albendazole,CYP1A2,inducer,SuperCYP,54965218
albendazole,CYP1A2,inhibitor,SuperCYP,54965218
albendazole,CYP1A2,substrate,SuperCYP,54965218
albendazole,CYP3A4,substrate,SuperCYP,54965218
alclometasone,CYP3A4,"substrate, inducer",DrugBank,DB00240
alcohol,CYP2D6,substrate,KEGG,D00068
aldesleukin,CYP2E1,inhibitor,DrugBank,DB00041
aldesleukin,CYP3A4,inhibitor,DrugBank,DB00041
aldosterone,CYP11B1,substrate,DrugBank,DB04630
aldosterone,CYP11B1,substrate,SuperCYP,52391
aldosterone,CYP3A5,substrate,SuperCYP,52391
aldosterone,CYP11B2,substrate,SuperCYP,52391
aldosterone,CYP17A,inducer,SuperCYP,52391
alectinib,ABCG2,inhibitor,transporter,
alfacalcidol,CYP27A,substrate,SuperCYP,41294568
alfentanil,CYP3A7,substrate,DrugBank,DB00802
alfentanil,CYP3A5,substrate,DrugBank,DB00802
alfentanil,CYP3A4,substrate,DrugBank,DB00802
alfentanil,CYP3A4,substrate,Indiana University,
alfentanil,CYP3A5,substrate,Indiana University,
alfentanil,CYP3A7,substrate,Indiana University,
alfentanil,CYP3A4,substrate,ildcare,
alfentanil,CYP3A4,substrate,SuperCYP,71195589
alfentanil,CYP3A5,substrate,SuperCYP,71195589
alfentanil,CYP3A7,substrate,SuperCYP,71195589
alfentanil,CYP3A,substrate,KEGG,D07122
alfuzosin,CYP3A4,substrate,DrugBank,DB00346
alfuzosin,CYP3A4,substrate,SuperCYP,81403807
alimemazine,CYP3A4,inducer,DrugBank,DB01246
aliskiren,CYP3A4,substrate,DrugBank,DB09026
alitretinoin,CYP1A2,inhibitor,DrugBank,DB00523
alitretinoin,CYP1A2,inhibitor,SuperCYP,5300038
allicin,CYP2C19,inhibitor,KEGG,C07600
allopurinol,SLC22A8,substrate,transporter,
allopurinol,CYP2E1,inhibitor,SuperCYP,315300
allopurinol,CYP1A2,inhibitor,KEGG,D00224
allylestrenol,CYP3A4,substrate,DrugBank,DB01431
allylestrenol,CYP3A4,substrate,SuperCYP,432600
almorexant,CYP3A,inhibitor,KEGG,D09964
almotriptan,CYP2C8,substrate,DrugBank,DB00918
almotriptan,CYP1A2,substrate,DrugBank,DB00918
almotriptan,CYP2C19,substrate,DrugBank,DB00918
almotriptan,CYP2D6,substrate,DrugBank,DB00918
almotriptan,CYP2E1,substrate,DrugBank,DB00918
almotriptan,CYP3A4,substrate,DrugBank,DB00918
almotriptan,CYP3A4,substrate,ildcare,
almotriptan,CYP2D6,substrate,SuperCYP,154323576
almotriptan,CYP3A4,substrate,SuperCYP,154323576
alogliptin,CYP2D6,substrate,DrugBank,DB06203
alogliptin,CYP3A4,substrate,DrugBank,DB06203
alosetron,CYP1A2,substrate,DrugBank,DB00969
alosetron,CYP2C9,substrate,DrugBank,DB00969
alosetron,CYP2E1,inhibitor,DrugBank,DB00969
alosetron,CYP3A4,substrate,DrugBank,DB00969
alosetron,CYP1A2,substrate,SuperCYP,122852420
alosetron,CYP2C9,substrate,SuperCYP,122852420
alosetron,CYP2E1,inhibitor,SuperCYP,122852420
alosetron,CYP3A4,substrate,SuperCYP,122852420
alosetron,CYP1A2,substrate,KEGG,D07129
alprazolam,CYP2C9,substrate,DrugBank,DB00404
alprazolam,CYP3A7,substrate,DrugBank,DB00404
alprazolam,CYP3A5,substrate,DrugBank,DB00404
alprazolam,CYP3A4,substrate,DrugBank,DB00404
alprazolam,CYP3A4,substrate,Indiana University,
alprazolam,CYP3A5,substrate,Indiana University,
alprazolam,CYP3A7,substrate,Indiana University,
alprazolam,CYP3A4,substrate,ildcare,
alprazolam,CYP3A4,substrate,SuperCYP,28981977
alprazolam,CYP3A5,substrate,SuperCYP,28981977
alprazolam,CYP3A7,substrate,SuperCYP,28981977
alprazolam,CYP3A,inhibitor,KEGG,D00225
alprazolam,CYP3A4,substrate,KEGG,D00225
alprazolam,CYP3A,substrate,KEGG,D00225
alprenolol,CYP2D6,substrate,DrugBank,DB00866
alprenolol,CYP2D6,substrate,Indiana University,
alprenolol,CYP2D6,substrate,SuperCYP,13655522
alprenolol,CYP2D6,substrate,KEGG,D07156
alum,CYP1A1,substrate,SuperCYP,10043013
alum,CYP1A1,inducer,SuperCYP,10043013
amantadine,SLC22A2,inhibitor,transporter,
ambrisentan,SLCO1B1,substrate,transporter,
ambrisentan,SLC01B1,substrate,transporter,
ambrisentan,SLC01B3,substrate,transporter,
ambroxol,CYP3A4,"substrate,inhibitor",DrugBank,DB06742
ambroxol,CYP3A4,inhibitor,SuperCYP,18683915
ambroxol,CYP3A4,substrate,SuperCYP,18683915
amfetamine,CYP2A6,inhibitor,SuperCYP,300629
amfetamine,CYP2D6,substrate,SuperCYP,300629
amfetamine,CYP2D6,inhibitor,SuperCYP,300629
amfetamine,CYP2D6,substrate,KEGG,D07445
amiloride,SLC22A2,inhibitor,transporter,
amiloride,CYP1A1,inhibitor,SuperCYP,2609463
aminobutyric acid,CYP2D6,substrate,SuperCYP,28805767
aminoglutethimide,CYP1A2,inducer,DrugBank,DB00357
aminoglutethimide,CYP2C19,inducer,DrugBank,DB00357
aminoglutethimide,CYP3A4,inducer,DrugBank,DB00357
aminoglutethimide,CYP3A4,Inducer,ildcare,
aminogluthetimide,CYP1A2,inducer,SuperCYP,125848
aminogluthetimide,CYP11B1,inhibitor,SuperCYP,125848
aminogluthetimide,CYP2C19,inducer,SuperCYP,125848
aminogluthetimide,CYP3A4,inducer,SuperCYP,125848
aminogluthetimide,CYP11A,inhibitor,SuperCYP,125848
aminogluthetimide,CYP11B2,inhibitor,SuperCYP,125848
aminogluthetimide,CYP17A,inhibitor,SuperCYP,125848
aminogluthetimide,CYP19A,inhibitor,SuperCYP,125848
aminoguanidine,SLC22A2,inhibitor,transporter,
aminohippuric acid,SLCO1B1,inhibitor,transporter,
aminohippuric acid,SLC01B1,inhibitor,transporter,
aminohippuric acid,SLC22A6,"substrate,inhibitor",transporter,
aminohippuric acid,SLC22A8,"substrate,inhibitor",transporter,
aminohippuric acid,SLC22A2,inhibitor,transporter,
aminophenazone,CYP2C8,substrate,DrugBank,DB01424
aminophenazone,CYP1A2,substrate,DrugBank,DB01424
aminophenazone,CYP2C9,"substrate,inhibitor",DrugBank,DB01424
aminophenazone,CYP2C18,substrate,DrugBank,DB01424
aminophenazone,CYP2C19,"substrate,inhibitor",DrugBank,DB01424
aminophenazone,CYP2D6,substrate,DrugBank,DB01424
aminophenazone,CYP3A7,substrate,DrugBank,DB01424
aminophenazone,CYP3A4,substrate,DrugBank,DB01424
aminophenazone,SLC22A6,inhibitor,transporter,
aminophenazone,CYP1A2,substrate,SuperCYP,58151
aminophenazone,CYP2C9,inhibitor,SuperCYP,58151
aminophenazone,CYP2C18,substrate,SuperCYP,58151
aminophenazone,CYP2C19,substrate,SuperCYP,58151
aminophenazone,CYP2C19,inhibitor,SuperCYP,58151
aminophenazone,CYP2D6,substrate,SuperCYP,58151
aminophenazone,CYP3A4,substrate,SuperCYP,58151
aminophenazone,CYP3A7,substrate,SuperCYP,58151
aminophenazone,CYP17A,substrate,SuperCYP,58151
aminophenazone,CYP2C8,substrate,SuperCYP,58151
aminophylline,CYP1A2,substrate,DrugBank,DB01223
aminophylline,CYP2E1,substrate,DrugBank,DB01223
aminophylline,CYP3A4,substrate,DrugBank,DB01223
aminophylline,CYP1A2,substrate,SuperCYP,317340
aminophylline,CYP2E1,substrate,SuperCYP,317340
aminophylline,CYP3A4,substrate,SuperCYP,317340
aminophylline,CYP1A2,substrate,KEGG,D05429
aminosalicylic acid,CYP11B2,inducer,SuperCYP,65496
amiodarone,CYP2C8,substrate,DrugBank,DB01118
amiodarone,CYP1A1,substrate,DrugBank,DB01118
amiodarone,CYP1A2,"substrate,inhibitor",DrugBank,DB01118
amiodarone,CYP1A2,inhibitor,Indiana University,
amiodarone,CYP1A2,Inhibitor,ildcare,
amiodarone,CYP2A6,inhibitor,DrugBank,DB01118
amiodarone,CYP2C9,"substrate,inhibitor",DrugBank,DB01118
amiodarone,CYP2C9,inhibitor,Indiana University,
amiodarone,CYP2C9,Inhibitor,ildcare,
amiodarone,CYP2C19,substrate,DrugBank,DB01118
amiodarone,CYP2D6,"substrate,inhibitor",DrugBank,DB01118
amiodarone,CYP2D6,inhibitor,Indiana University,
amiodarone,CYP2D6,Inhibitor,ildcare,
amiodarone,CYP3A7,inhibitor,DrugBank,DB01118
amiodarone,CYP3A5,inhibitor,DrugBank,DB01118
amiodarone,CYP3A4,"substrate,inhibitor",DrugBank,DB01118
amiodarone,CYP3A4,inhibitor,Indiana University,
amiodarone,CYP3A5,inhibitor,Indiana University,
amiodarone,CYP3A7,inhibitor,Indiana University,
amiodarone,CYP3A4,substrate,ildcare,
amiodarone,CYP3A4,inhibitor,ildcare,
amiodarone,CYP1A1,substrate,SuperCYP,1951253
amiodarone,CYP1A2,substrate,SuperCYP,1951253
amiodarone,CYP1A2,inhibitor,SuperCYP,1951253
amiodarone,CYP2C9,inhibitor,SuperCYP,1951253
amiodarone,CYP2C19,substrate,SuperCYP,1951253
amiodarone,CYP2D6,inhibitor,SuperCYP,1951253
amiodarone,CYP2D6,substrate,SuperCYP,1951253
amiodarone,CYP3A4,inhibitor,SuperCYP,1951253
amiodarone,CYP3A4,substrate,SuperCYP,1951253
amiodarone,CYP3A5,inhibitor,SuperCYP,1951253
amiodarone,CYP3A7,inhibitor,SuperCYP,1951253
amiodarone,CYP1A2,inhibitor,KEGG,D02910
amiodarone,CYP1A2,substrate,KEGG,D02910
amiodarone,CYP2C9,inhibitor,KEGG,D02910
amiodarone,CYP2C9,substrate,KEGG,D02910
amiodarone,CYP2D6,inhibitor,KEGG,D02910
amiodarone,CYP2D6,substrate,KEGG,D02910
amiodarone,CYP3A4,inhibitor,KEGG,D02910
amiodarone,CYP3A,inhibitor,KEGG,D02910
amiodarone,CYP3A4,substrate,KEGG,D02910
amiodarone,CYP2C8,substrate,ildcare,
amiodarone,CYP2C8,substrate,SuperCYP,1951253
amitriptyline,CYP2C8,"substrate,inhibitor",DrugBank,DB00321
amitriptyline,CYP1A2,substrate,DrugBank,DB00321
amitriptyline,CYP1A2,substrate,Indiana University,
amitriptyline,CYP1A2,substrate,ildcare,
amitriptyline,CYP2B6,substrate,DrugBank,DB00321
amitriptyline,CYP2C9,substrate,DrugBank,DB00321
amitriptyline,CYP2C9,substrate,Indiana University,
amitriptyline,CYP2C9,substrate,ildcare,
amitriptyline,CYP2C19,"substrate,inhibitor",DrugBank,DB00321
amitriptyline,CYP2C19,substrate,Indiana University,
amitriptyline,CYP2C19,substrate,ildcare,
amitriptyline,CYP2D6,"substrate,inhibitor",DrugBank,DB00321
amitriptyline,CYP2D6,substrate,Indiana University,
amitriptyline,CYP2D6,substrate,ildcare,
amitriptyline,CYP2E1,"substrate,inhibitor",DrugBank,DB00321
amitriptyline,CYP3A5,substrate,DrugBank,DB00321
amitriptyline,CYP3A4,substrate,DrugBank,DB00321
amitriptyline,CYP3A4,substrate,ildcare,
amitriptyline,CYP1A2,substrate,SuperCYP,50486
amitriptyline,CYP1A2,inhibitor,SuperCYP,50486
amitriptyline,CYP2B6,substrate,SuperCYP,50486
amitriptyline,CYP2C9,substrate,SuperCYP,50486
amitriptyline,CYP2C19,substrate,SuperCYP,50486
amitriptyline,CYP2C19,inhibitor,SuperCYP,50486
amitriptyline,CYP2D6,inhibitor,SuperCYP,50486
amitriptyline,CYP2D6,substrate,SuperCYP,50486
amitriptyline,CYP2E1,inhibitor,SuperCYP,50486
amitriptyline,CYP2E1,substrate,SuperCYP,50486
amitriptyline,CYP3A4,inhibitor,SuperCYP,50486
amitriptyline,CYP3A4,substrate,SuperCYP,50486
amitriptyline,CYP3A5,substrate,SuperCYP,50486
amitriptyline,CYP1A2,substrate,KEGG,D07448
amitriptyline,CYP2C19,substrate,KEGG,D07448
amitriptyline,CYP2D6,substrate,KEGG,D07448
amitriptyline,CYP3A4,substrate,KEGG,D07448
amitriptyline,CYP2C8,inhibitor,SuperCYP,50486
amitriptyline,CYP2C8,substrate,SuperCYP,50486
amlodipine,CYP2C8,inhibitor,DrugBank,DB00381
amlodipine,CYP1A1,inhibitor,DrugBank,DB00381
amlodipine,CYP1A2,inhibitor,DrugBank,DB00381
amlodipine,CYP2A6,inhibitor,DrugBank,DB00381
amlodipine,CYP2B6,inhibitor,DrugBank,DB00381
amlodipine,CYP2C9,inhibitor,DrugBank,DB00381
amlodipine,CYP2D6,inhibitor,DrugBank,DB00381
amlodipine,CYP3A7,substrate,DrugBank,DB00381
amlodipine,CYP3A5,substrate,DrugBank,DB00381
amlodipine,CYP3A4,"substrate,inhibitor",DrugBank,DB00381
amlodipine,CYP3A4,substrate,Indiana University,
amlodipine,CYP3A5,substrate,Indiana University,
amlodipine,CYP3A7,substrate,Indiana University,
amlodipine,CYP3A4,substrate,ildcare,
amlodipine,CYP1A1,inhibitor,SuperCYP,88150429
amlodipine,CYP1A2,inhibitor,SuperCYP,88150429
amlodipine,CYP2A6,inhibitor,SuperCYP,88150429
amlodipine,CYP2B6,inhibitor,SuperCYP,88150429
amlodipine,CYP2C9,inhibitor,SuperCYP,88150429
amlodipine,CYP2D6,inhibitor,SuperCYP,88150429
amlodipine,CYP3A4,inhibitor,SuperCYP,88150429
amlodipine,CYP3A4,substrate,SuperCYP,88150429
amlodipine,CYP3A5,substrate,SuperCYP,88150429
amlodipine,CYP3A7,substrate,SuperCYP,88150429
amlodipine,CYP3A,inhibitor,KEGG,D07450
amlodipine,CYP3A4,substrate,KEGG,D07450
amlodipine,CYP3A5,substrate,KEGG,D07450
amlodipine,CYP3A7,substrate,KEGG,D07450
amlodipine,CYP2C8,inhibitor,SuperCYP,88150429
amobarbital,CYP2A6,inducer,DrugBank,DB01351
amobarbital,CYP2A6,inducer,SuperCYP,57432
amobarbital,CYP3A,substrate,KEGG,D00555
amodiaquine,CYP2C8,substrate,DrugBank,DB00613
amodiaquine,CYP1A1,substrate,DrugBank,DB00613
amodiaquine,CYP2C9,inhibitor,DrugBank,DB00613
amodiaquine,CYP2D6,inhibitor,DrugBank,DB00613
amodiaquine,CYP1A1,substrate,SuperCYP,86420
amodiaquine,CYP1B1,substrate,SuperCYP,86420
amodiaquine,CYP2C9,inhibitor,SuperCYP,86420
amodiaquine,CYP2D6,inhibitor,SuperCYP,86420
amodiaquine,CYP2C8,substrate,Indiana University,
amodiaquine,CYP2C8,substrate,KEGG,D02922
amodiaquine,CYP2C8,substrate,SuperCYP,86420
amoxapine,CYP2D6,substrate,DrugBank,DB00543
amoxapine,CYP1A2,substrate,KEGG,D00228
amoxapine,CYP2C19,substrate,KEGG,D00228
amoxapine,CYP2D6,substrate,KEGG,D00228
amoxapine,CYP3A4,substrate,KEGG,D00228
amoxicillin,CYP2C19,substrate,DrugBank,DB01060
amoxicillin,SLC22A6,inhibitor,transporter,
amoxicillin,CYP2C19,substrate,SuperCYP,26787780
amoxicillin,CYP2C19,substrate,KEGG,D08774
amphetamine,CYP2A6,inhibitor,DrugBank,DB00182
amphetamine,CYP2D6,"substrate,inhibitor",DrugBank,DB00182
amphetamine,CYP2D6,substrate,Indiana University,
amphetamine,CYP2D6,substrate,ildcare,
amphetamine,CYP2D6,substrate,KEGG,D02074
ampiroxicam,CYP2C9,substrate,KEGG,D01397
ampiroxicam,CYP3A4,substrate,KEGG,D01397
amprenavir,CYP2C8,substrate,DrugBank,DB00701
amprenavir,CYP2B6,inhibitor,DrugBank,DB00701
amprenavir,CYP2C9,substrate,DrugBank,DB00701
amprenavir,CYP2C19,inhibitor,DrugBank,DB00701
amprenavir,CYP2D6,substrate,DrugBank,DB00701
amprenavir,CYP3A5,substrate,DrugBank,DB00701
amprenavir,CYP3A4,"substrate,inhibitor",DrugBank,DB00701
amprenavir,CYP3A4,substrate,ildcare,
amprenavir,CYP3A4,inhibitor,ildcare,
amprenavir,CYP2B6,inhibitor,SuperCYP,161814499
amprenavir,CYP2C9,substrate,SuperCYP,161814499
amprenavir,CYP2C19,inhibitor,SuperCYP,161814499
amprenavir,CYP2D6,substrate,SuperCYP,161814499
amprenavir,CYP3A4,inhibitor,SuperCYP,161814499
amprenavir,CYP3A4,substrate,SuperCYP,161814499
amprenavir,CYP3A5,substrate,SuperCYP,161814499
amprenavir,CYP3A,inhibitor,KEGG,D00894
amprenavir,CYP3A, inducer,KEGG,D00894
amprenavir,CYP3A4,substrate,KEGG,D00894
amprenavir,CYP2C8,substrate,SuperCYP,161814499
amsacrine,CYP2D6,substrate,DrugBank,DB00276
amsacrine,CYP2D6,substrate,SuperCYP,51264143
anagrelide,CYP1A2,substrate,DrugBank,DB00261
anagrelide,CYP1A2,substrate,SuperCYP,68475423
anagrelide,CYP1A1,substrate,KEGG,D07455
anastrozole,CYP1A2,inhibitor,DrugBank,DB01217
anastrozole,CYP2C9,inhibitor,DrugBank,DB01217
anastrozole,CYP3A4,inhibitor,DrugBank,DB01217
anastrozole,CYP1A2,inhibitor,SuperCYP,120511731
anastrozole,CYP2C9,inhibitor,SuperCYP,120511731
anastrozole,CYP3A4,inhibitor,SuperCYP,120511731
anastrozole,CYP19A,inhibitor,SuperCYP,120511731
anastrozole,CYP1A2,inhibitor,KEGG,D00960
anastrozole,CYP3A4,inhibitor,KEGG,D00960
anastrozole,CYP3A4,substrate,KEGG,D00960
anastrozole,CYP2C8,Inhibitor,ildcare,
androstanolone,CYP7B1,inhibitor,SuperCYP,521186
androstanolone,CYP11A,substrate,SuperCYP,521186
androstanolone,CYP17A,substrate,SuperCYP,521186
androstanolone,CYP19A,substrate,SuperCYP,521186
angiotensinamide,CYP11B1,inducer,SuperCYP,53736
angiotensinamide,CYP11A,inducer,SuperCYP,53736
angiotensinamide,CYP11B2,inducer,SuperCYP,53736
angiotensinamide,CYP21A,inducer,SuperCYP,53736
aniline,CYP2E1,substrate,DrugBank,DB06728
aniline2,CYP2E1,substrate,Indiana University,
antipyrine,CYP2C8,substrate,DrugBank,DB01435
antipyrine,CYP1A2,substrate,DrugBank,DB01435
antipyrine,CYP2A6,substrate,DrugBank,DB01435
antipyrine,CYP2B6,"substrate,inhibitor",DrugBank,DB01435
antipyrine,CYP2C9,substrate,DrugBank,DB01435
antipyrine,CYP2C18,substrate,DrugBank,DB01435
antipyrine,CYP2C19,"substrate,inhibitor",DrugBank,DB01435
antipyrine,CYP2D6,"substrate,inhibitor",DrugBank,DB01435
antipyrine,CYP2E1,substrate,DrugBank,DB01435
antipyrine,CYP3A4,"substrate,inhibitor",DrugBank,DB01435
antipyrine,SLC22A6,inhibitor,transporter,
antipyrine,CYP1A2,substrate,KEGG,D01776
apixaban,CYP2C8,substrate,DrugBank,DB06605
apixaban,CYP1A2,substrate,DrugBank,DB06605
apixaban,CYP2C9,substrate,DrugBank,DB06605
apixaban,CYP2C19,substrate,DrugBank,DB06605
apixaban,CYP2J2,substrate,DrugBank,DB06605
apixaban,CYP3A5,substrate,DrugBank,DB06605
apixaban,CYP3A4,substrate,DrugBank,DB06605
apixaban,ABCG2,substrate,transporter,
apixaban,CYP3A4,substrate,KEGG,D03213
apixaban,CYP3A5,substrate,KEGG,D03213
aprepitant,CYP1A2,substrate,DrugBank,DB00673
aprepitant,CYP2C9,"inhibitor, inducer",DrugBank,DB00673
aprepitant,CYP2C9,Inducer,ildcare,
aprepitant,CYP2C19,"substrate,inhibitor",DrugBank,DB00673
aprepitant,CYP3A7,"substrate,inhibitor",DrugBank,DB00673
aprepitant,CYP3A5,"substrate,inhibitor",DrugBank,DB00673
aprepitant,CYP3A4,"substrate,inhibitor",DrugBank,DB00673
aprepitant,CYP3A4,substrate,Indiana University,
aprepitant,CYP3A5,substrate,Indiana University,
aprepitant,CYP3A7,substrate,Indiana University,
aprepitant,CYP3A4,inhibitor,Indiana University,
aprepitant,CYP3A5,inhibitor,Indiana University,
aprepitant,CYP3A7,inhibitor,Indiana University,
aprepitant,CYP3A4,substrate,ildcare,
aprepitant,CYP3A4,inhibitor,ildcare,
aprepitant,CYP3A4,Inducer,ildcare,
aprepitant,CYP1A2,substrate,SuperCYP,170729803
aprepitant,CYP2C9,inhibitor,SuperCYP,170729803
aprepitant,CYP2C9,inducer,SuperCYP,170729803
aprepitant,CYP2C19,inhibitor,SuperCYP,170729803
aprepitant,CYP2C19,substrate,SuperCYP,170729803
aprepitant,CYP3A4,inducer,SuperCYP,170729803
aprepitant,CYP3A4,inhibitor,SuperCYP,170729803
aprepitant,CYP3A4,substrate,SuperCYP,170729803
aprepitant,CYP3A5,substrate,SuperCYP,170729803
aprepitant,CYP3A7,substrate,SuperCYP,170729803
aprepitant,CYP2C9, inducer,KEGG,D02968
aprepitant,CYP3A4,inhibitor,KEGG,D02968
aprepitant,CYP3A5,inhibitor,KEGG,D02968
aprepitant,CYP3A7,inhibitor,KEGG,D02968
aprepitant,CYP3A,inhibitor,KEGG,D02968
aprepitant,CYP3A, inducer,KEGG,D02968
aprepitant,CYP3A4,substrate,KEGG,D02968
aprepitant,CYP3A5,substrate,KEGG,D02968
aprepitant,CYP3A7,substrate,KEGG,D02968
aprepitant,CYP3A,substrate,KEGG,D02968
aprindine,CYP2D6,substrate,DrugBank,DB01429
aprindine,CYP2D6,substrate,SuperCYP,37640714
aprindine,CYP2D6,substrate,KEGG,D02969
aprindine,CYP3A4,substrate,KEGG,D02969
