DrugName,CypName,Action,Species,Database,CASNumber
Colchicine,1A1,inhibitor,rat,SuperCYP,000064868
Colecalciferol,1A1,inhibitor,human,SuperCYP,000067970
Colecalciferol,1A1,inhibitor,human,SuperCYP,000067970
Dacarbazine,1A1,inhibitor,human,SuperCYP,004342034
Dacarbazine,1A1,substrate,human,SuperCYP,004342034
Dacarbazine,1A1,substrate,human,SuperCYP,004342034
Dactinomycin,1A1,inhibitor,rabbit,SuperCYP,000050760
Dantrolene,1A1,inhibitor,rat,SuperCYP,007261974
Daunorubicin,1A1,substrate,human,SuperCYP,020830813
Debrisoquine,1A1,substrate,human,SuperCYP,001131642
Debrisoquine,1A1,substrate,human,SuperCYP,001131642
Decamethrin,1A1,substrate,rat,SuperCYP,052918635
Deferoxamine,1A1,inhibitor,mouse,SuperCYP,000070519
Dexamethason,1A1,inducer,human,SuperCYP,000050022
Dexamethasone,1A1,inducer,human,SuperCYP,000050022
Diclofenac,1A1,substrate,human,SuperCYP,015307865
Dicycloverin,1A1,inducer,human,SuperCYP,000077190
Dicycloverine,1A1,inducer,human,SuperCYP,000077190
Diethylstilbestrol,1A1,inducer,rat,SuperCYP,000056531
Diosmectite,1A1,inducer,human,SuperCYP,000520343
Diosmectite,1A1,inhibitor,human,SuperCYP,000520343
Diosmectite,1A1,inhibitor,human,SuperCYP,000520343
Diosmin,1A1,inducer,human,SuperCYP,000520274
Diosmin,1A1,inhibitor,human,SuperCYP,000520274
Diosmin,1A1,inducer,human,SuperCYP,000520274
Diosmin,1A1,inducer,human,SuperCYP,000077190
Doxorubicin,1A1,inducer,,SuperCYP,023214928
Dronabinol,1A1,substrate,human,SuperCYP,001972083
Enoxacin,1A1,inducer,rat,SuperCYP,074011588
Ergometrine,1A1,inhibitor,human,SuperCYP,000060797
Erythromycin,1A1,substrate,,SuperCYP,000114078
Estradiol,1A1,substrate,human,SuperCYP,000050282
Estradiol,1A1,substrate,human,SuperCYP,000050282
Estriol,1A1,inducer,,SuperCYP,000050271
Estriol,1A1,inhibitor,rainbow trout,SuperCYP,000050271
Estrone,1A1,substrate,human,SuperCYP,000053167
Estrone,1A1,substrate,human,SuperCYP,000053167
Etacrynic acid,1A1,substrate,human,SuperCYP,000058548
Ethanol,1A1,inhibitor,human,SuperCYP,000064175
Ethinylestradiol,1A1,substrate,human,SuperCYP,000057636
Fluconazole,1A1,inducer,,SuperCYP,086386734
Flunarizine,1A1,substrate,human,SuperCYP,052468607
Fluorescein,1A1,inducer,human,SuperCYP,002321075
Flutamide,1A1,substrate,human,SuperCYP,013311847
Fluvastatin,1A1,substrate,human,SuperCYP,093957541
Fluvastatin,1A1,inducer,rat,SuperCYP,093957541
Fluvoxamine,1A1,inhibitor,human,SuperCYP,054739183
Fluvoxamine,1A1,inhibitor,human,SuperCYP,054739183
G-strophanthin,1A1,inhibitor,human,SuperCYP,000630604
Granisetron,1A1,substrate,human,SuperCYP,109889090
Granisetron,1A1,substrate,human,SuperCYP,109889090
Haloperidol,1A1,substrate,human,SuperCYP,000052868
Histamine,1A1,inducer,,SuperCYP,000051456
Ipriflavone,1A1,substrate,rat,SuperCYP,035212227
Isoprenalin,1A1,inhibitor,human,SuperCYP,007683592
Isoprenaline,1A1,inhibitor,human,SuperCYP,007683592
Itraconazole,1A1,inducer,human,SuperCYP,084625616
Ketoconazole,1A1,inhibitor,human,SuperCYP,065277421
Ketoconazole,1A1,inducer,human,SuperCYP,065277421
Ketoconazole,1A1,inhibitor,human,SuperCYP,065277421
Lansoprazole,1A1,inducer,human,SuperCYP,103577453
Lentinan,1A1,inhibitor,mouse,SuperCYP,037339905
Levothyroxine sodium,1A1,substrate,human,SuperCYP,000055038
Lindane,1A1,inducer,rat,SuperCYP,000058899
Mebendazole,1A1,inducer,human,SuperCYP,031431397
Mecamylamine,1A1,inducer,rat,SuperCYP,000060402
Melatonin,1A1,substrate,human,SuperCYP,000073314
Menadione,1A1,substrate,human,SuperCYP,000058275
Mercaptopurine,1A1,substrate,human,SuperCYP,000050442
"Mercury, metallic",1A1,inducer,shark,SuperCYP,007439976
Methoxsalen,1A1,inhibitor,human,SuperCYP,000298817
Mibefradil,1A1,inhibitor,human,SuperCYP,116644532
Mitobronitol,1A1,inducer,human,SuperCYP,000488415
Moracizine,1A1,inhibitor,mouse,SuperCYP,031883053
Nicotine,1A1,inducer,human,SuperCYP,000054115
Nicotine,1A1,substrate,human,SuperCYP,000054115
Nicotine,1A1,inducer,human,SuperCYP,000054115
Nifedipine,1A1,inhibitor,human,SuperCYP,021829254
Nitrofurantoin,1A1,substrate,,SuperCYP,000067209
Nitroprusside,1A1,inhibitor,human,SuperCYP,015078281
Norfloxacin,1A1,inhibitor,human,SuperCYP,070458967
Omeprazole,1A1,substrate,,SuperCYP,073590586
Omeprazole,1A1,inhibitor,human,SuperCYP,073590586
Omeprazole,1A1,inducer,human,SuperCYP,073590586
Omeprazole,1A1,inducer,human,SuperCYP,073590586
Omeprazole,1A1,inducer,human,SuperCYP,073590586
Oxaliplatin,1A1,substrate,human,SuperCYP,061825943
Paracetamol,1A1,substrate,human,SuperCYP,000103902
Perazine,1A1,substrate,human,SuperCYP,000084979
Phenacetin,1A1,substrate,human,SuperCYP,000062442
Phenobarbital,1A1,inducer,,SuperCYP,000050066
Pipamperone,1A1,inducer,human,SuperCYP,001893330
Prasterone,1A1,inhibitor,human,SuperCYP,000053430
Prasterone,1A1,inhibitor,rat,SuperCYP,000053430
Prazosin,1A1,substrate,human,SuperCYP,019216569
Prednisone,1A1,inducer,,SuperCYP,000053032
Primaquine,1A1,inducer,human,SuperCYP,000090346
Primaquine,1A1,inducer,human,SuperCYP,000090346
Procarbazine,1A1,substrate,rat,SuperCYP,000671169
Progesterone,1A1,substrate,human,SuperCYP,000057830
Propofol,1A1,inhibitor,human,SuperCYP,002078548
Propranolol,1A1,inhibitor,human,SuperCYP,000525666
Propylthiouracil,1A1,inducer,zebrafish,SuperCYP,000051525
Pyridoxine (vit B6),1A1,inducer,,SuperCYP,000065236
Quassia,1A1,inhibitor,,SuperCYP,000076788
Quinidine,1A1,inhibitor,human,SuperCYP,000056542
Quinine,1A1,inducer,human,SuperCYP,000130950
Quinine,1A1,inhibitor,human,SuperCYP,000130950
Rabeprazole,1A1,inducer,human,SuperCYP,117976893
Rabeprazole,1A1,inducer,human,SuperCYP,117976893
raltegravir,1A1,substrate,,SuperCYP,cid11598201
retigabine,1A1,substrate,,SuperCYP,cid121892
Retinol,1A1,inhibitor,human,SuperCYP,011103574
Retinol,1A1,inducer,human,SuperCYP,011103574
Retinol (vit A),1A1,inhibitor,human,SuperCYP,000068268
Retinol (vit A),1A1,inhibitor,human,SuperCYP,000068268
Riboflavin (vit B2),1A1,substrate,human,SuperCYP,000083885
Rifampicin,1A1,inducer,,SuperCYP,013292461
Riluzole,1A1,substrate,human,SuperCYP,001744225
Salicylamide,1A1,inhibitor,human,SuperCYP,000065452
Sildenafil,1A1,inhibitor,human,SuperCYP,139755832
Streptozocin,1A1,inducer,rat,SuperCYP,018883664
Sulindac,1A1,inhibitor,human,SuperCYP,038194502
Tamoxifen,1A1,substrate,human,SuperCYP,010540291
Testosterone,1A1,substrate,human,SuperCYP,000057852
Tetrabenazine,1A1,inducer,rat,SuperCYP,000058468
Thalidomide,1A1,inducer,,SuperCYP,000050351
Theophylline,1A1,inhibitor,human,SuperCYP,000058559
Theophylline,1A1,substrate,human,SuperCYP,000058559
Tiabendazole,1A1,inducer,human,SuperCYP,000148798
Tiabendazole,1A1,inducer,human,SuperCYP,000148798
Ticlopidine,1A1,inhibitor,human,SuperCYP,055142853
Tocainide,1A1,inhibitor,rat,SuperCYP,041708729
Toremifene,1A1,substrate,human,SuperCYP,089778267
Triclosan,1A1,inhibitor,,SuperCYP,003380345
Troglitazone,1A1,substrate,human,SuperCYP,097322877
Tryptophan,1A1,inducer,mouse,SuperCYP,000073223
Zotepine,1A1,substrate,human,SuperCYP,026615214
2-(4-chlorphenoxy)-ethanol,1A2,substrate,human,SuperCYP,000064175
Acriflavinium chloride,1A2,substrate,human,SuperCYP,000086408
Albendazole,1A2,inducer,human,SuperCYP,054965218
Albendazole,1A2,inhibitor,human,SuperCYP,054965218
Albendazole,1A2,substrate,human,SuperCYP,054965218
Alitretinoin,1A2,inhibitor,human,SuperCYP,005300038
Alosetron,1A2,substrate,human,SuperCYP,122852420
Aminogluthetimide,1A2,inducer,human,SuperCYP,000125848
Aminophenazone,1A2,substrate,human,SuperCYP,000058151
Aminophylline,1A2,substrate,human,SuperCYP,000317340
Aminophylline,1A2,substrate,human,SuperCYP,000317340
Amiodarone,1A2,substrate,human,SuperCYP,001951253
Amiodarone,1A2,inhibitor,human,SuperCYP,001951253
Amiodarone,1A2,inhibitor,,SuperCYP,001951253
Amitriptyline,1A2,inhibitor,,SuperCYP,000050486
Amitriptyline,1A2,substrate,human,SuperCYP,000050486
Amitriptyline,1A2,substrate,human,SuperCYP,000050486
Amitriptyline,1A2,substrate,human,SuperCYP,000050486
Amlodipine,1A2,inhibitor,human,SuperCYP,088150429
Anagrelide,1A2,substrate,human,SuperCYP,068475423
Anastrozole,1A2,inhibitor,human,SuperCYP,120511731
Anastrozole,1A2,inhibitor,human,SuperCYP,120511731
Aprepitant,1A2,substrate,human,SuperCYP,170729803
Artemisinin,1A2,inhibitor,human,SuperCYP,063968649
Artemisinin,1A2,inhibitor,human,SuperCYP,063968649
Ascorbic acid,1A2,inducer,,SuperCYP,000050817
Ascorbic acid (vit C),1A2,inducer,,SuperCYP,000050817
Atropin,1A2,inhibitor,human,SuperCYP,000051558
Atropine,1A2,inhibitor,human,SuperCYP,000051558
Azelastine,1A2,substrate,human,SuperCYP,058581898
Azelastine,1A2,substrate,human,SuperCYP,058581898
Benoxaprofen,1A2,inducer,rat,SuperCYP,051234287
Benzydamine,1A2,substrate,human,SuperCYP,000642728
Benzydamine,1A2,substrate,human,SuperCYP,000642728
Bergapten,1A2,inhibitor,human,SuperCYP,000484208
Betacarotene,1A2,inducer,human,SuperCYP,007235407
Betacarotene,1A2,inducer,human,SuperCYP,007235407
Betaxolol,1A2,substrate,human,SuperCYP,063659187
Bortezomib,1A2,substrate,human,SuperCYP,179324697
Bortezomib,1A2,substrate,human,SuperCYP,179324697
Bromazepam,1A2,substrate,human,SuperCYP,001812302
Bromocriptine,1A2,inhibitor,human,SuperCYP,025614033
Bupivacaine,1A2,substrate,human,SuperCYP,038396393
Buprenorphine,1A2,inhibitor,human,SuperCYP,052485797
Bupropion,1A2,substrate,human,SuperCYP,034911552
Caffeine,1A2,inhibitor,human,SuperCYP,000058082
Caffeine,1A2,substrate,human,SuperCYP,000058082
Caffeine,1A2,inhibitor,human,SuperCYP,000058082
Caffeine,1A2,substrate,human,SuperCYP,000058082
Capsaicin,1A2,substrate,human,SuperCYP,000404864
Capsaicin,1A2,substrate,human,SuperCYP,000404864
Carbamazepine,1A2,inhibitor,human,SuperCYP,000298464
Carbamazepine,1A2,substrate,human,SuperCYP,000298464
Carbamazepine,1A2,inducer,human,SuperCYP,000298464
Carbamazepine,1A2,substrate,human,SuperCYP,000298464
Carmustine,1A2,substrate,human,SuperCYP,000154938
Carvedilol,1A2,substrate,human,SuperCYP,072956093
Chinin,1A2,inducer,human,SuperCYP,000130950
Chinin,1A2,inhibitor,human,SuperCYP,000130950
Chinin,1A2,substrate,human,SuperCYP,000130950
Chinin,1A2,inhibitor,human,SuperCYP,000130950
Chlorothiazide,1A2,inducer,rat,SuperCYP,000058946
Chlorpromazine,1A2,inhibitor,human,SuperCYP,000050533
Chlorpromazine,1A2,inducer,,SuperCYP,000050533
Chlorpromazine,1A2,substrate,human,SuperCYP,000050533
Chlorpromazine,1A2,substrate,human,SuperCYP,000050533
Chlorzoxazone,1A2,substrate,human,SuperCYP,000095250
Chlorzoxazone,1A2,substrate,human,SuperCYP,000095250
Cimetidine,1A2,inhibitor,human,SuperCYP,051481619
Cimetidine,1A2,inhibitor,human,SuperCYP,051481619
Cinnarizin,1A2,substrate,human,SuperCYP,000298577
Cinnarizine,1A2,substrate,human,SuperCYP,000298577
Ciprofloxacin,1A2,inhibitor,human,SuperCYP,085721331
Ciprofloxacin,1A2,inhibitor,human,SuperCYP,085721331
Ciprofloxacin,1A2,inhibitor,human,SuperCYP,085721331
Cisapride,1A2,substrate,human,SuperCYP,081098604
Citalopram,1A2,inhibitor,human,SuperCYP,059729338
Citalopram,1A2,inhibitor,human,SuperCYP,059729338
Clarithromycin,1A2,inhibitor,human,SuperCYP,081103119
Clenbuterol,1A2,substrate,human,SuperCYP,037148279
Clobetasol,1A2,inhibitor,human,SuperCYP,025122412
Clomifene,1A2,inhibitor,human,SuperCYP,000911455
Clomipramine,1A2,substrate,human,SuperCYP,000303491
Clomipramine,1A2,substrate,human,SuperCYP,000303491
Clopidogrel,1A2,substrate,human,SuperCYP,113665842
Clotrimazole,1A2,inhibitor,human,SuperCYP,023593751
Clozapine,1A2,inhibitor,human,SuperCYP,005786210
Clozapine,1A2,substrate,human,SuperCYP,005786210
Clozapine,1A2,inhibitor,human,SuperCYP,005786210
Clozapine,1A2,substrate,human,SuperCYP,005786210
Cocaine,1A2,inducer,,SuperCYP,000050362
Cyamemazine,1A2,substrate,human,SuperCYP,003546030
Cyclobarbital,1A2,inducer,mouse,SuperCYP,000052313
Cyclobenzaprine,1A2,substrate,human,SuperCYP,000303537
Cyclobenzaprine,1A2,substrate,human,SuperCYP,000303537
Cypermethrin,1A2,substrate,human,SuperCYP,052315078
Dacarbazine,1A2,inhibitor,human,SuperCYP,004342034
Dacarbazine,1A2,substrate,human,SuperCYP,004342034
Dacarbazine,1A2,substrate,human,SuperCYP,004342034
Dactinomycin,1A2,inhibitor,rabbit,SuperCYP,000050760
Daunorubicin,1A2,substrate,human,SuperCYP,020830813
Deanol,1A2,substrate,human,SuperCYP,000108010
Decamethrin,1A2,substrate,rat,SuperCYP,052918635
Delavirdine,1A2,inhibitor,human,SuperCYP,136817599
Delavirdine,1A2,inhibitor,human,SuperCYP,136817599
Desipramine,1A2,substrate,human,SuperCYP,000050475
Desipramine,1A2,substrate,human,SuperCYP,000050475
Desloratadine,1A2,inhibitor,human,SuperCYP,100643718
Dexamethason,1A2,inducer,,SuperCYP,000050022
Dexamethasone,1A2,inducer,,SuperCYP,000050022
Dexfenfluramine,1A2,inhibitor,human,SuperCYP,003239449
Dexfenfluramine,1A2,substrate,human,SuperCYP,003239449
Dexfenfluramine,1A2,substrate,human,SuperCYP,003239449
Diazepam,1A2,inhibitor,human,SuperCYP,000439145
Diazepam,1A2,substrate,human,SuperCYP,000439145
Diazepam,1A2,substrate,human,SuperCYP,000439145
Diclofenac,1A2,substrate,human,SuperCYP,015307865
Diclofenac,1A2,inhibitor,,SuperCYP,015307865
Diclofenac,1A2,substrate,,SuperCYP,015307865
Diethyltoluamide,1A2,substrate,human,SuperCYP,000134623
Dihydralazine,1A2,inhibitor,human,SuperCYP,000484231
Dihydralazine,1A2,substrate,human,SuperCYP,000484231
Dihydralazine,1A2,substrate,rat,SuperCYP,000484231
Dinoprostone,1A2,substrate,human,SuperCYP,000363246
Disulfiram,1A2,substrate,,SuperCYP,000097778
Disulfiram,1A2,inhibitor,,SuperCYP,000097778
Domperidone,1A2,substrate,human,SuperCYP,057808669
Domperidone,1A2,substrate,human,SuperCYP,057808669
Dopamine,1A2,substrate,,SuperCYP,000051616
Dopamine,1A2,inhibitor,human,SuperCYP,000051616
Doxepin,1A2,substrate,,SuperCYP,001668195
Doxepin,1A2,substrate,human,SuperCYP,001668195
Doxorubicin,1A2,inducer,,SuperCYP,023214928
duloxetine,1A2,substrate,,SuperCYP,cid60835
Efavirenz,1A2,inhibitor,human,SuperCYP,154598524
Enoxacin,1A2,inhibitor,human,SuperCYP,074011588
Enoxacin,1A2,inhibitor,human,SuperCYP,074011588
Enoxolone,1A2,inhibitor,,SuperCYP,000471534
Entacapone,1A2,inhibitor,,SuperCYP,116314671
Epinephrin,1A2,inhibitor,human,SuperCYP,000051434
Epinephrine,1A2,inhibitor,human,SuperCYP,000051434
Ergotamine,1A2,substrate,human,SuperCYP,000113155
Erythromycin,1A2,inhibitor,human,SuperCYP,000114078
Erythromycin,1A2,substrate,,SuperCYP,000114078
Erythromycin,1A2,inhibitor,,SuperCYP,000114078
Estradiol,1A2,substrate,human,SuperCYP,000050282
Estriol,1A2,inhibitor,,SuperCYP,000050271
Estrone,1A2,substrate,human,SuperCYP,000053167
Estrone,1A2,substrate,human,SuperCYP,000053167
Estrone,1A2,substrate,mouse,SuperCYP,000053167
Ethanol,1A2,substrate,human,SuperCYP,000064175
Ethinylestradiol,1A2,inhibitor,human,SuperCYP,000057636
Ethinylestradiol,1A2,substrate,human,SuperCYP,000057636
Etoposide,1A2,substrate,human,SuperCYP,033419420
Etoposide,1A2,substrate,human,SuperCYP,033419420
Etoricoxib,1A2,inhibitor,human,SuperCYP,202409334
Fenbendazole,1A2,inducer,rat,SuperCYP,043210679
Flecainide,1A2,substrate,,SuperCYP,054143554
Fluconazole,1A2,inhibitor,,SuperCYP,086386734
Flunarizine,1A2,substrate,human,SuperCYP,052468607
Flunitrazepam,1A2,substrate,human,SuperCYP,001622624
Fluorouracil,1A2,substrate,human,SuperCYP,000051218
Fluoxetine,1A2,substrate,human,SuperCYP,054910893
Fluoxetine,1A2,inhibitor,,SuperCYP,054910893
Fluoxetine,1A2,substrate,,SuperCYP,054910893
Fluphenazine,1A2,inhibitor,human,SuperCYP,000069238
Fluphenazine,1A2,inhibitor,human,SuperCYP,000069238
Flutamide,1A2,substrate,human,SuperCYP,013311847
Flutamide,1A2,inhibitor,human,SuperCYP,013311847
Flutamide,1A2,substrate,human,SuperCYP,013311847
Flutamide,1A2,inhibitor,,SuperCYP,013311847
Fluvastatin,1A2,inhibitor,human,SuperCYP,093957541
Fluvastatin,1A2,inhibitor,,SuperCYP,093957541
Fluvoxamine,1A2,inhibitor,human,SuperCYP,054739183
Fluvoxamine,1A2,substrate,,SuperCYP,054739183
Fluvoxamine,1A2,inhibitor,human,SuperCYP,054739183
Fluvoxamine,1A2,inhibitor,human,SuperCYP,054739183
Fluvoxamine,1A2,substrate,human,SuperCYP,054739183
Frovatriptan,1A2,substrate,human,SuperCYP,158747025
Frovatriptan,1A2,substrate,human,SuperCYP,158747025
Gemfibrozil,1A2,inhibitor,human,SuperCYP,025812300
Granisetron,1A2,substrate,human,SuperCYP,109889090
Griseofulvin,1A2,inducer,,SuperCYP,000126078
Griseofulvin,1A2,inducer,,SuperCYP,000126078
Griseofulvin,1A2,substrate,human,SuperCYP,000126078
Guaiazulen,1A2,substrate,human,SuperCYP,000489849
Guajazulen,1A2,substrate,human,SuperCYP,000489849
Haloperidol,1A2,substrate,,SuperCYP,000052868
Hexobarbital,1A2,substrate,human,SuperCYP,000056291
Hydrochloric acid,1A2,inhibitor,human,SuperCYP,007647010
Idebenone,1A2,substrate,,SuperCYP,058186279
Imatinib,1A2,substrate,,SuperCYP,152459955
Imipramine,1A2,substrate,human,SuperCYP,000050497
Imipramine,1A2,inhibitor,human,SuperCYP,000050497
Imipramine,1A2,substrate,human,SuperCYP,000050497
Imipramine oxide,1A2,substrate,human,SuperCYP,006829987
Imiquimod,1A2,substrate,human,SuperCYP,099011026
Imiquimod,1A2,substrate,,SuperCYP,099011026
Insulin (beef),1A2,inducer,human,SuperCYP,011061680
Insulin (human),1A2,inducer,human,SuperCYP,011061680
Insulin (pork),1A2,inducer,human,SuperCYP,011061680
Ipriflavone,1A2,inhibitor,human,SuperCYP,035212227
Ipriflavone,1A2,substrate,human,SuperCYP,035212227
Ipriflavone,1A2,inhibitor,human,SuperCYP,035212227
Irbesartan,1A2,inhibitor,human,SuperCYP,138402116
Isoniazid,1A2,inhibitor,human,SuperCYP,000054853
Isoniazid,1A2,inhibitor,human,SuperCYP,000054853
Ketoconazole,1A2,inhibitor,human,SuperCYP,065277421
Ketoconazole,1A2,inhibitor,human,SuperCYP,065277421
Lansoprazole,1A2,inducer,human,SuperCYP,103577453
Lansoprazole,1A2,inducer,human,SuperCYP,103577453
Levobupivacaine,1A2,substrate,human,SuperCYP,027262471
Levofloxacin,1A2,inhibitor,human,SuperCYP,100986854
Levothyroxine sodium,1A2,substrate,human,SuperCYP,000055038
Lidocain,1A2,inhibitor,human,SuperCYP,000137586
Lidocain,1A2,substrate,human,SuperCYP,000137586
Lidocain,1A2,inhibitor,human,SuperCYP,000137586
Lidocain,1A2,substrate,human,SuperCYP,000137586
Lidocaine,1A2,inhibitor,human,SuperCYP,000137586
Lidocaine,1A2,substrate,human,SuperCYP,000137586
Lidocaine,1A2,inhibitor,human,SuperCYP,000137586
Lidocaine,1A2,substrate,human,SuperCYP,000137586
Lomefloxacin,1A2,inhibitor,human,SuperCYP,098079517
Lomefloxacin,1A2,inhibitor,human,SuperCYP,098079517
Lomefloxacin,1A2,substrate,human,SuperCYP,098079517
Lopinavir,1A2,inhibitor,human,SuperCYP,192725170
Losartan,1A2,inhibitor,human,SuperCYP,114798264
Losartan,1A2,inhibitor,human,SuperCYP,114798264
Lumiracoxib,1A2,substrate,human,SuperCYP,220991208
Malathion,1A2,substrate,human,SuperCYP,000121755
Malathion,1A2,substrate,human,SuperCYP,000121755
Maprotiline,1A2,substrate,human,SuperCYP,010262698
Meclozin,1A2,inhibitor,human,SuperCYP,000569653
Meclozine,1A2,inhibitor,human,SuperCYP,000569653
Medrysone,1A2,inhibitor,,SuperCYP,002668668
Melatonin,1A2,substrate,human,SuperCYP,000073314
Melatonin,1A2,substrate,human,SuperCYP,000073314
Menadione,1A2,substrate,human,SuperCYP,000058275
Methadone,1A2,substrate,human,SuperCYP,000076993
Methadone,1A2,substrate,human,SuperCYP,000076993
Methoxsalen,1A2,inhibitor,human,SuperCYP,000298817
Methoxsalen,1A2,inhibitor,human,SuperCYP,000298817
Methoxyflurane,1A2,substrate,human,SuperCYP,000076380
Methyldopa (levorotatory),1A2,substrate,human,SuperCYP,000555306
Methyldopa (racemic),1A2,substrate,human,SuperCYP,000555306
Mexiletine,1A2,inhibitor,human,SuperCYP,031828714
Mexiletine,1A2,substrate,human,SuperCYP,031828714
Mexiletine,1A2,substrate,human,SuperCYP,031828714
Mianserin,1A2,substrate,human,SuperCYP,024219974
Mibefradil,1A2,inhibitor,human,SuperCYP,116644532
Miconazole,1A2,inhibitor,human,SuperCYP,022916478
Miconazole,1A2,inhibitor,human,SuperCYP,022916478
Mirtazapine,1A2,substrate,human,SuperCYP,061337675
Mirtazapine,1A2,substrate,human,SuperCYP,061337675
Mitobronitol,1A2,inducer,human,SuperCYP,000488415
Mitomycin,1A2,inducer,rat,SuperCYP,000050077
Moclobemide,1A2,inhibitor,human,SuperCYP,071320779
Moclobemide,1A2,inhibitor,human,SuperCYP,071320779
Modafinil,1A2,inducer,human,SuperCYP,068693118
Modafinil,1A2,inducer,human,SuperCYP,068693118
Modafinil,1A2,inhibitor,human,SuperCYP,068693118
Moracizine,1A2,inhibitor,mouse,SuperCYP,031883053
Nabumetone,1A2,substrate,,SuperCYP,042924538
Naproxen,1A2,substrate,human,SuperCYP,022204531
Naproxen,1A2,substrate,human,SuperCYP,022204531
Nelfinavir,1A2,inhibitor,human,SuperCYP,159989647
Nevirapine,1A2,inhibitor,human,SuperCYP,129618402
Niclosamide,1A2,inhibitor,human,SuperCYP,000050657
Niclosamide,1A2,inhibitor,human,SuperCYP,000050657
Nicotinamide,1A2,inducer,mouse,SuperCYP,000098920
Nicotine,1A2,inducer,human,SuperCYP,000054115
Nicotine,1A2,substrate,human,SuperCYP,000054115
Nifedipine,1A2,inhibitor,human,SuperCYP,021829254
Nilvadipine,1A2,inhibitor,human,SuperCYP,075530686
Nisoldipine,1A2,inhibitor,human,SuperCYP,063675729
Nisoldipine,1A2,inhibitor,human,SuperCYP,063675729
Nitrazepam,1A2,inducer,human,SuperCYP,000146225
Nitroprusside,1A2,inhibitor,human,SuperCYP,015078281
Norepinephrine,1A2,inhibitor,human,SuperCYP,000051412
Norfloxacin,1A2,inhibitor,human,SuperCYP,070458967
Norfloxacin,1A2,inhibitor,human,SuperCYP,070458967
Norfloxacin,1A2,inhibitor,human,SuperCYP,070458967
Nortriptyline,1A2,substrate,human,SuperCYP,000072695
Ofloxacin,1A2,inhibitor,human,SuperCYP,082419361
Olanzapine,1A2,substrate,human,SuperCYP,132539061
Olanzapine,1A2,substrate,human,SuperCYP,132539061
Olanzapine,1A2,substrate,human,SuperCYP,132539061
Omeprazole,1A2,inhibitor,human,SuperCYP,073590586
Omeprazole,1A2,inducer,human,SuperCYP,073590586
Omeprazole,1A2,substrate,human,SuperCYP,073590586
Omeprazole,1A2,inducer,human,SuperCYP,073590586
Omeprazole,1A2,inducer,human,SuperCYP,073590586
Omeprazole,1A2,inducer,human,SuperCYP,073590586
Omeprazole,1A2,inhibitor,human,SuperCYP,073590586
Ondansetron,1A2,substrate,human,SuperCYP,099614025
Ondansetron,1A2,substrate,,SuperCYP,099614025
Ondansetron,1A2,inhibitor,human,SuperCYP,099614025
Orphenadrine (chloride),1A2,inhibitor,human,SuperCYP,000083987
Orphenadrine (chloride),1A2,inhibitor,human,SuperCYP,000083987
Orphenadrine (citrate),1A2,inhibitor,human,SuperCYP,000083987
Orphenadrine (citrate),1A2,inhibitor,human,SuperCYP,000083987
Oxaliplatin,1A2,substrate,human,SuperCYP,061825943
Pantoprazole,1A2,inducer,human,SuperCYP,102625707
