Name,Name,Actions,Species,Database,DrugBank ID
Vitamin A,1A1,"inhibitor, inducer",Not Specified,DrugBank,DB00162
Quinine,1A1,"inhibitor, inducer",Not Specified,DrugBank,DB00468
Ketoconazole,1A1,"inhibitor, inducer",Not Specified,DrugBank,DB01026
Dexamethasone,1A1,"inhibitor, inducer",Not Specified,DrugBank,DB01234
Ellagic Acid,1A1,"inhibitor, inducer",Not Specified,DrugBank,DB08846
Pyridoxine,1A1,inhibitor,Not Specified,DrugBank,DB00165
Cholecalciferol,1A1,inhibitor,Not Specified,DrugBank,DB00169
Fluvoxamine,1A1,inhibitor,Not Specified,DrugBank,DB00176
Bortezomib,1A1,inhibitor,Not Specified,DrugBank,DB00188
Caffeine,1A1,inhibitor,Not Specified,DrugBank,DB00201
Sildenafil,1A1,inhibitor,Not Specified,DrugBank,DB00203
Ticlopidine,1A1,inhibitor,Not Specified,DrugBank,DB00208
Nitroprusside,1A1,inhibitor,Not Specified,DrugBank,DB00325
Amlodipine,1A1,inhibitor,Not Specified,DrugBank,DB00381
Methoxsalen,1A1,inhibitor,Not Specified,DrugBank,DB00553
Propranolol,1A1,inhibitor,Not Specified,DrugBank,DB00571
Sulindac,1A1,inhibitor,Not Specified,DrugBank,DB00605
Dexmedetomidine,1A1,inhibitor,Not Specified,DrugBank,DB00633
Propofol,1A1,inhibitor,Not Specified,DrugBank,DB00818
Ethanol,1A1,inhibitor,Not Specified,DrugBank,DB00898
Quinidine,1A1,inhibitor,Not Specified,DrugBank,DB00908
Clobetasol propionate,1A1,inhibitor,Not Specified,DrugBank,DB01013
Norfloxacin,1A1,inhibitor,Not Specified,DrugBank,DB01059
Isoprenaline,1A1,inhibitor,Not Specified,DrugBank,DB01064
Ouabain,1A1,inhibitor,Not Specified,DrugBank,DB01092
Nifedipine,1A1,inhibitor,Not Specified,DrugBank,DB01115
Arsenic trioxide,1A1,inhibitor,Not Specified,DrugBank,DB01169
Mibefradil,1A1,inhibitor,Not Specified,DrugBank,DB01388
Omeprazole,1A1,inducer,Not Specified,DrugBank,DB00338
Clozapine,1A1,inducer,Not Specified,DrugBank,DB00363
Streptozocin,1A1,inducer,Not Specified,DrugBank,DB00428
Lansoprazole,1A1,inducer,Not Specified,DrugBank,DB00448
Picrotoxin,1A1,inducer,Not Specified,DrugBank,DB00466
Albendazole,1A1,inducer,Not Specified,DrugBank,DB00518
Clofibrate,1A1,inducer,Not Specified,DrugBank,DB00636
Mebendazole,1A1,inducer,Not Specified,DrugBank,DB00643
Fluorescein,1A1,inducer,Not Specified,DrugBank,DB00693
Thiabendazole,1A1,inducer,Not Specified,DrugBank,DB00730
Dicyclomine,1A1,inducer,Not Specified,DrugBank,DB00804
Clomifene,1A1,inducer,Not Specified,DrugBank,DB00882
Primaquine,1A1,inducer,Not Specified,DrugBank,DB01087
Rabeprazole,1A1,inducer,Not Specified,DrugBank,DB01129
Itraconazole,1A1,inducer,Not Specified,DrugBank,DB01167
Phenobarbital,1A1,inducer,Not Specified,DrugBank,DB01174
Bezafibrate,1A1,inducer,Not Specified,DrugBank,DB01393
Cholecalciferol,2B6,inhibitor,Not Specified,DrugBank,DB00169
Fluvoxamine,2B6,inhibitor,Not Specified,DrugBank,DB00176
Nicotine,2B6,substrate,Not Specified,DrugBank,DB00184
Tramadol,2B6,substrate,Not Specified,DrugBank,DB00193
Troglitazone,2B6,inducer,Not Specified,DrugBank,DB00197
Erythromycin,2B6,substrate,Not Specified,DrugBank,DB00199
Ticlopidine,2B6,inhibitor,Not Specified,DrugBank,DB00208
Citalopram,2B6,inhibitor,Not Specified,DrugBank,DB00215
Nelfinavir,2B6,inhibitor,Not Specified,DrugBank,DB00220
Temazepam,2B6,substrate,Not Specified,DrugBank,DB00231
Nevirapine,2B6,"substrate, inducer",Not Specified,DrugBank,DB00238
Phenytoin,2B6,inducer,Not Specified,DrugBank,DB00252
Clotrimazole,2B6,"inhibitor, inducer",Not Specified,DrugBank,DB00257
Lidocaine,2B6,substrate,Not Specified,DrugBank,DB00281
Venlafaxine,2B6,inhibitor,Not Specified,DrugBank,DB00285
Ropivacaine,2B6,substrate,Not Specified,DrugBank,DB00296
Valproic Acid,2B6,substrate,Not Specified,DrugBank,DB00313
Amitriptyline,2B6,substrate,Not Specified,DrugBank,DB00321
Methadone,2B6,substrate,Not Specified,DrugBank,DB00333
Clobazam,2B6,substrate,Not Specified,DrugBank,DB00349
Mexiletine,2B6,substrate,Not Specified,DrugBank,DB00379
Amlodipine,2B6,inhibitor,Not Specified,DrugBank,DB00381
Sorafenib,2B6,"substrate, inhibitor",Not Specified,DrugBank,DB00398
Nitric Oxide,2B6,inhibitor,Not Specified,DrugBank,DB00435
Cerivastatin,2B6,inducer,Not Specified,DrugBank,DB00439
Pethidine,2B6,substrate,Not Specified,DrugBank,DB00454
Imipramine,2B6,substrate,Not Specified,DrugBank,DB00458
Fluoxetine,2B6,substrate,Not Specified,DrugBank,DB00472
Raloxifene,2B6,inhibitor,Not Specified,DrugBank,DB00481
Ritonavir,2B6,"substrate, inhibitor, inducer",Not Specified,DrugBank,DB00503
Dextromethorphan,2B6,substrate,Not Specified,DrugBank,DB00514
Cisplatin,2B6,inhibitor,Not Specified,DrugBank,DB00515
Cyclophosphamide,2B6,"substrate, inducer",Not Specified,DrugBank,DB00531
Mephenytoin,2B6,substrate,Not Specified,DrugBank,DB00532
Carbamazepine,2B6,inducer,Not Specified,DrugBank,DB00564
Cinnarizine,2B6,substrate,Not Specified,DrugBank,DB00568
Diclofenac,2B6,substrate,Not Specified,DrugBank,DB00586
Cisapride,2B6,substrate,Not Specified,DrugBank,DB00604
Nicardipine,2B6,inducer,Not Specified,DrugBank,DB00622
Testosterone,2B6,"substrate, inducer",Not Specified,DrugBank,DB00624
Efavirenz,2B6,"substrate, inhibitor, inducer",Not Specified,DrugBank,DB00625
Clofibrate,2B6,inducer,Not Specified,DrugBank,DB00636
Simvastatin,2B6,inducer,Not Specified,DrugBank,DB00641
Estrone,2B6,substrate,Not Specified,DrugBank,DB00655
Verapamil,2B6,"substrate, inducer",Not Specified,DrugBank,DB00661
Tamoxifen,2B6,"substrate, inhibitor",Not Specified,DrugBank,DB00675
Midazolam,2B6,substrate,Not Specified,DrugBank,DB00683
Amprenavir,2B6,inhibitor,Not Specified,DrugBank,DB00701
Paroxetine,2B6,inhibitor,Not Specified,DrugBank,DB00715
Modafinil,2B6,"inhibitor, inducer",Not Specified,DrugBank,DB00745
Carbinoxamine,2B6,substrate,Not Specified,DrugBank,DB00748
Epinastine,2B6,substrate,Not Specified,DrugBank,DB00751
Isoflurane,2B6,"substrate, inhibitor, inducer",Not Specified,DrugBank,DB00753
Tretinoin,2B6,substrate,Not Specified,DrugBank,DB00755
Clopidogrel,2B6,"substrate, inhibitor",Not Specified,DrugBank,DB00758
Irinotecan,2B6,substrate,Not Specified,DrugBank,DB00762
Methimazole,2B6,inhibitor,Not Specified,DrugBank,DB00763
Malathion,2B6,substrate,Not Specified,DrugBank,DB00772
Roxithromycin,2B6,inhibitor,Not Specified,DrugBank,DB00778
Primidone,2B6,inducer,Not Specified,DrugBank,DB00794
Propofol,2B6,substrate,Not Specified,DrugBank,DB00818
Diazepam,2B6,substrate,Not Specified,DrugBank,DB00829
Brompheniramine,2B6,substrate,Not Specified,DrugBank,DB00835
Loperamide,2B6,substrate,Not Specified,DrugBank,DB00836
Methylphenobarbital,2B6,substrate,Not Specified,DrugBank,DB00849
Perphenazine,2B6,substrate,Not Specified,DrugBank,DB00850
Benzphetamine,2B6,substrate,Not Specified,DrugBank,DB00865
Ethanol,2B6,inhibitor,Not Specified,DrugBank,DB00898
Quinidine,2B6,inhibitor,Not Specified,DrugBank,DB00908
Azelastine,2B6,inhibitor,Not Specified,DrugBank,DB00972
Doxorubicin,2B6,inhibitor,Not Specified,DrugBank,DB00997
Ketoconazole,2B6,inhibitor,Not Specified,DrugBank,DB01026
Methoxyflurane,2B6,substrate,Not Specified,DrugBank,DB01028
Selegiline,2B6,substrate,Not Specified,DrugBank,DB01037
Memantine,2B6,inhibitor,Not Specified,DrugBank,DB01043
Rifampicin,2B6,inducer,Not Specified,DrugBank,DB01045
Promethazine,2B6,substrate,Not Specified,DrugBank,DB01069
Perhexiline,2B6,substrate,Not Specified,DrugBank,DB01074
Diphenhydramine,2B6,substrate,Not Specified,DrugBank,DB01075
Atorvastatin,2B6,inducer,Not Specified,DrugBank,DB01076
Fluvastatin,2B6,inducer,Not Specified,DrugBank,DB01095
Sertraline,2B6,"substrate, inhibitor",Not Specified,DrugBank,DB01104
Miconazole,2B6,inhibitor,Not Specified,DrugBank,DB01110
Nifedipine,2B6,inducer,Not Specified,DrugBank,DB01115
Sulfinpyrazone,2B6,inducer,Not Specified,DrugBank,DB01138
Desipramine,2B6,inhibitor,Not Specified,DrugBank,DB01151
Bupropion,2B6,"substrate, inhibitor",Not Specified,DrugBank,DB01156
Halothane,2B6,substrate,Not Specified,DrugBank,DB01159
Itraconazole,2B6,inhibitor,Not Specified,DrugBank,DB01167
Orphenadrine,2B6,"inhibitor, inducer",Not Specified,DrugBank,DB01173
Phenobarbital,2B6,inducer,Not Specified,DrugBank,DB01174
Ifosfamide,2B6,substrate,Not Specified,DrugBank,DB01181
Domperidone,2B6,substrate,Not Specified,DrugBank,DB01184
Ketamine,2B6,substrate,Not Specified,DrugBank,DB01221
Dexamethasone,2B6,inducer,Not Specified,DrugBank,DB01234
Sevoflurane,2B6,substrate,Not Specified,DrugBank,DB01236
Fosphenytoin,2B6,inducer,Not Specified,DrugBank,DB01320
Colchicine,2B6,inhibitor,Not Specified,DrugBank,DB01394
Antipyrine,2B6,"substrate, inhibitor",Not Specified,DrugBank,DB01435
Ethylmorphine,2B6,substrate,Not Specified,DrugBank,DB01466
Ritonavir,2B6,"substrate, inhibitor, inducer",Not Specified,DrugBank,DB00503
Raloxifene,2B6,inhibitor,Not Specified,DrugBank,DB00481
Fluoxetine,2B6,substrate,Not Specified,DrugBank,DB00472
Imipramine,2B6,substrate,Not Specified,DrugBank,DB00458
Pethidine,2B6,substrate,Not Specified,DrugBank,DB00454
Cerivastatin,2B6,inducer,Not Specified,DrugBank,DB00439
Nitric Oxide,2B6,inhibitor,Not Specified,DrugBank,DB00435
Sorafenib,2B6,"substrate, inhibitor",Not Specified,DrugBank,DB00398
Amlodipine,2B6,inhibitor,Not Specified,DrugBank,DB00381
Mexiletine,2B6,substrate,Not Specified,DrugBank,DB00379
Clobazam,2B6,substrate,Not Specified,DrugBank,DB00349
Methadone,2B6,substrate,Not Specified,DrugBank,DB00333
Amitriptyline,2B6,substrate,Not Specified,DrugBank,DB00321
Valproic Acid,2B6,substrate,Not Specified,DrugBank,DB00313
Ropivacaine,2B6,substrate,Not Specified,DrugBank,DB00296
Venlafaxine,2B6,inhibitor,Not Specified,DrugBank,DB00285
Lidocaine,2B6,substrate,Not Specified,DrugBank,DB00281
Clotrimazole,2B6,"inhibitor, inducer",Not Specified,DrugBank,DB00257
Phenytoin,2B6,inducer,Not Specified,DrugBank,DB00252
Nevirapine,2B6,"substrate, inducer",Not Specified,DrugBank,DB00238
Temazepam,2B6,substrate,Not Specified,DrugBank,DB00231
Nelfinavir,2B6,inhibitor,Not Specified,DrugBank,DB00220
Citalopram,2B6,inhibitor,Not Specified,DrugBank,DB00215
Ticlopidine,2B6,inhibitor,Not Specified,DrugBank,DB00208
Erythromycin,2B6,substrate,Not Specified,DrugBank,DB00199
Troglitazone,2B6,inducer,Not Specified,DrugBank,DB00197
Tramadol,2B6,substrate,Not Specified,DrugBank,DB00193
Nicotine,2B6,substrate,Not Specified,DrugBank,DB00184
Fluvoxamine,2B6,inhibitor,Not Specified,DrugBank,DB00176
Cholecalciferol,2B6,inhibitor,Not Specified,DrugBank,DB00169
Pegvisomant,2C18,inhibitor,Not Specified,DrugBank,DB00082
Dapsone,2C18,substrate,Not Specified,DrugBank,DB00250
Phenytoin,2C18,substrate,Not Specified,DrugBank,DB00252
Lidocaine,2C18,substrate,Not Specified,DrugBank,DB00281
Valproic Acid,2C18,inhibitor,Not Specified,DrugBank,DB00313
Methadone,2C18,substrate,Not Specified,DrugBank,DB00333
Omeprazole,2C18,substrate,Not Specified,DrugBank,DB00338
Clobazam,2C18,substrate,Not Specified,DrugBank,DB00349
Lansoprazole,2C18,substrate,Not Specified,DrugBank,DB00448
Imipramine,2C18,substrate,Not Specified,DrugBank,DB00458
Cyclophosphamide,2C18,substrate,Not Specified,DrugBank,DB00531
Diclofenac,2C18,substrate,Not Specified,DrugBank,DB00586
Verapamil,2C18,substrate,Not Specified,DrugBank,DB00661
Warfarin,2C18,substrate,Not Specified,DrugBank,DB00682
Tretinoin,2C18,substrate,Not Specified,DrugBank,DB00755
Propofol,2C18,substrate,Not Specified,DrugBank,DB00818
Diazepam,2C18,substrate,Not Specified,DrugBank,DB00829
Perphenazine,2C18,substrate,Not Specified,DrugBank,DB00850
Buprenorphine,2C18,substrate,Not Specified,DrugBank,DB00921
Diphenhydramine,2C18,substrate,Not Specified,DrugBank,DB01075
Tolbutamide,2C18,substrate,Not Specified,DrugBank,DB01124
Desipramine,2C18,substrate,Not Specified,DrugBank,DB01151
Phenobarbital,2C18,inducer,Not Specified,DrugBank,DB01174
Ifosfamide,2C18,substrate,Not Specified,DrugBank,DB01181
Troleandomycin,2C18,inhibitor,Not Specified,DrugBank,DB01361
Aminophenazone,2C18,substrate,Not Specified,DrugBank,DB01424
Antipyrine,2C18,substrate,Not Specified,DrugBank,DB01435
Clotiazepam,2C18,substrate,Not Specified,DrugBank,DB01559
Vilazodone,2C18,substrate,Not Specified,DrugBank,DB06684
Cyclosporine,3A7,"substrate, inducer",Not Specified,DrugBank,DB00091
Fluvoxamine,3A7,inhibitor,Not Specified,DrugBank,DB00176
Fluconazole,3A7,inhibitor,Not Specified,DrugBank,DB00196
Troglitazone,3A7,"inhibitor, inducer",Not Specified,DrugBank,DB00197
Erythromycin,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00199
Caffeine,3A7,substrate,Not Specified,DrugBank,DB00201
Sildenafil,3A7,substrate,Not Specified,DrugBank,DB00203
Nelfinavir,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00220
Indinavir,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00224
Lovastatin,3A7,substrate,Not Specified,DrugBank,DB00227
Ziprasidone,3A7,substrate,Not Specified,DrugBank,DB00246
Dapsone,3A7,substrate,Not Specified,DrugBank,DB00250
Phenytoin,3A7,inducer,Not Specified,DrugBank,DB00252
Clotrimazole,3A7,inducer,Not Specified,DrugBank,DB00257
Lidocaine,3A7,substrate,Not Specified,DrugBank,DB00281
Codeine,3A7,substrate,Not Specified,DrugBank,DB00318
Methadone,3A7,substrate,Not Specified,DrugBank,DB00333
Terfenadine,3A7,substrate,Not Specified,DrugBank,DB00342
Diltiazem,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00343
Amlodipine,3A7,substrate,Not Specified,DrugBank,DB00381
Progesterone,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00396
Sorafenib,3A7,substrate,Not Specified,DrugBank,DB00398
Nisoldipine,3A7,substrate,Not Specified,DrugBank,DB00401
Alprazolam,3A7,substrate,Not Specified,DrugBank,DB00404
Zolpidem,3A7,substrate,Not Specified,DrugBank,DB00425
Cerivastatin,3A7,substrate,Not Specified,DrugBank,DB00439
Chloramphenicol,3A7,inhibitor,Not Specified,DrugBank,DB00446
Imipramine,3A7,substrate,Not Specified,DrugBank,DB00458
Quinine,3A7,substrate,Not Specified,DrugBank,DB00468
Buspirone,3A7,substrate,Not Specified,DrugBank,DB00490
Oxycodone,3A7,substrate,Not Specified,DrugBank,DB00497
Cimetidine,3A7,inhibitor,Not Specified,DrugBank,DB00501
Haloperidol,3A7,substrate,Not Specified,DrugBank,DB00502
Ritonavir,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00503
Dextromethorphan,3A7,substrate,Not Specified,DrugBank,DB00514
Lercanidipine,3A7,substrate,Not Specified,DrugBank,DB00528
Cyclophosphamide,3A7,substrate,Not Specified,DrugBank,DB00531
Ciprofloxacin,3A7,inhibitor,Not Specified,DrugBank,DB00537
Vincristine,3A7,substrate,Not Specified,DrugBank,DB00541
Carbamazepine,3A7,substrate,Not Specified,DrugBank,DB00564
Propranolol,3A7,substrate,Not Specified,DrugBank,DB00571
Voriconazole,3A7,inhibitor,Not Specified,DrugBank,DB00582
Fluticasone Propionate,3A7,substrate,Not Specified,DrugBank,DB00588
Ethosuximide,3A7,substrate,Not Specified,DrugBank,DB00593
Cisapride,3A7,substrate,Not Specified,DrugBank,DB00604
Imatinib,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00619
Testosterone,3A7,substrate,Not Specified,DrugBank,DB00624
Astemizole,3A7,substrate,Not Specified,DrugBank,DB00637
Simvastatin,3A7,substrate,Not Specified,DrugBank,DB00641
Dextropropoxyphene,3A7,inducer,Not Specified,DrugBank,DB00647
Trazodone,3A7,substrate,Not Specified,DrugBank,DB00656
Verapamil,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00661
Aprepitant,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00673
Tamoxifen,3A7,substrate,Not Specified,DrugBank,DB00675
Midazolam,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00683
Eplerenone,3A7,substrate,Not Specified,DrugBank,DB00700
Delavirdine,3A7,inhibitor,Not Specified,DrugBank,DB00705
Norethindrone,3A7,substrate,Not Specified,DrugBank,DB00717
Nateglinide,3A7,substrate,Not Specified,DrugBank,DB00731
Risperidone,3A7,substrate,Not Specified,DrugBank,DB00734
Hydrocortisone,3A7,substrate,Not Specified,DrugBank,DB00741
Tretinoin,3A7,substrate,Not Specified,DrugBank,DB00755
Irinotecan,3A7,substrate,Not Specified,DrugBank,DB00762
Phenelzine,3A7,inhibitor,Not Specified,DrugBank,DB00780
Estradiol,3A7,substrate,Not Specified,DrugBank,DB00783
Alfentanil,3A7,substrate,Not Specified,DrugBank,DB00802
Fentanyl,3A7,substrate,Not Specified,DrugBank,DB00813
Diazepam,3A7,substrate,Not Specified,DrugBank,DB00829
Mifepristone,3A7,inhibitor,Not Specified,DrugBank,DB00834
Oxazepam,3A7,substrate,Not Specified,DrugBank,DB00842
Tacrolimus,3A7,substrate,Not Specified,DrugBank,DB00864
Sirolimus,3A7,substrate,Not Specified,DrugBank,DB00877
Triazolam,3A7,substrate,Not Specified,DrugBank,DB00897
Ondansetron,3A7,substrate,Not Specified,DrugBank,DB00904
Cocaine,3A7,substrate,Not Specified,DrugBank,DB00907
Quinidine,3A7,substrate,Not Specified,DrugBank,DB00908
Buprenorphine,3A7,substrate,Not Specified,DrugBank,DB00921
Salmeterol,3A7,substrate,Not Specified,DrugBank,DB00938
Zalcitabine,3A7,substrate,Not Specified,DrugBank,DB00943
Zaleplon,3A7,substrate,Not Specified,DrugBank,DB00962
Telithromycin,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB00976
Felodipine,3A7,substrate,Not Specified,DrugBank,DB01023
Ketoconazole,3A7,inhibitor,Not Specified,DrugBank,DB01026
Rifampicin,3A7,inducer,Not Specified,DrugBank,DB01045
Nitrendipine,3A7,substrate,Not Specified,DrugBank,DB01054
Praziquantel,3A7,substrate,Not Specified,DrugBank,DB01058
Norfloxacin,3A7,inhibitor,Not Specified,DrugBank,DB01059
Atorvastatin,3A7,substrate,Not Specified,DrugBank,DB01076
Pimozide,3A7,substrate,Not Specified,DrugBank,DB01100
Chlorphenamine,3A7,substrate,Not Specified,DrugBank,DB01114
Nifedipine,3A7,substrate,Not Specified,DrugBank,DB01115
Amiodarone,3A7,inhibitor,Not Specified,DrugBank,DB01118
Nefazodone,3A7,inhibitor,Not Specified,DrugBank,DB01149
Cilostazol,3A7,substrate,Not Specified,DrugBank,DB01166
Itraconazole,3A7,inhibitor,Not Specified,DrugBank,DB01167
Phenobarbital,3A7,inducer,Not Specified,DrugBank,DB01174
Ifosfamide,3A7,substrate,Not Specified,DrugBank,DB01181
Domperidone,3A7,substrate,Not Specified,DrugBank,DB01184
Rifapentine,3A7,inducer,Not Specified,DrugBank,DB01201
Clarithromycin,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB01211
Finasteride,3A7,substrate,Not Specified,DrugBank,DB01216
Quetiapine,3A7,substrate,Not Specified,DrugBank,DB01224
Levomethadyl Acetate,3A7,substrate,Not Specified,DrugBank,DB01227
Paclitaxel,3A7,substrate,Not Specified,DrugBank,DB01229
Saquinavir,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB01232
Dexamethasone,3A7,"substrate, inducer",Not Specified,DrugBank,DB01234
Aripiprazole,3A7,substrate,Not Specified,DrugBank,DB01238
Docetaxel,3A7,substrate,Not Specified,DrugBank,DB01248
Sunitinib,3A7,substrate,Not Specified,DrugBank,DB01268
Mibefradil,3A7,inhibitor,Not Specified,DrugBank,DB01388
Aminophenazone,3A7,substrate,Not Specified,DrugBank,DB01424
Ethylmorphine,3A7,substrate,Not Specified,DrugBank,DB01466
Dehydroepiandrosterone,3A7,"substrate, inhibitor",Not Specified,DrugBank,DB01708
Iloperidone,3A7,substrate,Not Specified,DrugBank,DB04946
dehydroepiandrosterone sulfate,3A7,substrate,Not Specified,DrugBank,DB05804
Temsirolimus,3A7,substrate,Not Specified,DrugBank,DB06287
Gestodene,3A7,inhibitor,Not Specified,DrugBank,DB06730
Seproxetine,3A7,inhibitor,Not Specified,DrugBank,DB06731
Daclatasvir,3A7,substrate,Not Specified,DrugBank,DB09102
Insulin Regular,1A2,inducer,Not Specified,DrugBank,DB00030
Insulin Lispro,1A2,inducer,Not Specified,DrugBank,DB00046
Insulin Glargine,1A2,inducer,Not Specified,DrugBank,DB00047
"Insulin, porcine",1A2,inducer,Not Specified,DrugBank,DB00071
Menadione,1A2,"substrate, inducer",Not Specified,DrugBank,DB00170
Fluvoxamine,1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00176
Nicotine,1A2,"substrate, inducer",Not Specified,DrugBank,DB00184
Bortezomib,1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00188
Phentermine,1A2,inhibitor,Not Specified,DrugBank,DB00191
Betaxolol,1A2,substrate,Not Specified,DrugBank,DB00195
Erythromycin,1A2,inhibitor,Not Specified,DrugBank,DB00199
Caffeine,1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00201
Azithromycin,1A2,inhibitor,Not Specified,DrugBank,DB00207
Ticlopidine,1A2,inhibitor,Not Specified,DrugBank,DB00208
Pantoprazole,1A2,"substrate, inducer",Not Specified,DrugBank,DB00213
Citalopram,1A2,inhibitor,Not Specified,DrugBank,DB00215
Nelfinavir,1A2,inhibitor,Not Specified,DrugBank,DB00220
Nevirapine,1A2,inhibitor,Not Specified,DrugBank,DB00238
Ziprasidone,1A2,substrate,Not Specified,DrugBank,DB00246
Clotrimazole,1A2,inhibitor,Not Specified,DrugBank,DB00257
Anagrelide,1A2,substrate,Not Specified,DrugBank,DB00261
Carmustine,1A2,substrate,Not Specified,DrugBank,DB00262
Ropinirole,1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00268
Theophylline,1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00277
Lidocaine,1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00281
Conjugated Estrogens,1A2,substrate,Not Specified,DrugBank,DB00286
Ropivacaine,1A2,substrate,Not Specified,DrugBank,DB00296
Bupivacaine,1A2,substrate,Not Specified,DrugBank,DB00297
Tenofovir,1A2,inhibitor,Not Specified,DrugBank,DB00300
Valproic Acid,1A2,inhibitor,Not Specified,DrugBank,DB00313
Zolmitriptan,1A2,substrate,Not Specified,DrugBank,DB00315
Acetaminophen,1A2,substrate,Not Specified,DrugBank,DB00316
Amitriptyline,1A2,substrate,Not Specified,DrugBank,DB00321
Nitroprusside,1A2,inhibitor,Not Specified,DrugBank,DB00325
Methadone,1A2,substrate,Not Specified,DrugBank,DB00333
Olanzapine,1A2,substrate,Not Specified,DrugBank,DB00334
Omeprazole,1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank,DB00338
Pyrazinamide,1A2,substrate,Not Specified,DrugBank,DB00339
Chlorzoxazone,1A2,substrate,Not Specified,DrugBank,DB00356
Aminoglutethimide,1A2,inducer,Not Specified,DrugBank,DB00357
Clozapine,1A2,"substrate, inhibitor",Not Specified,DrugBank,DB00363
Grepafloxacin,1A2,substrate,Not Specified,DrugBank,DB00365
Norepinephrine,1A2,inhibitor,Not Specified,DrugBank,DB00368
Mirtazapine,1A2,substrate,Not Specified,DrugBank,DB00370
