Drug,Enzyme,Action,Database,Species,DrugID,Gene,Reference,Strength
4-Methoxyamphetamine,CYP2D6,substrate,DrugBank,Not Specified,DB01472,,,
Abiraterone,CYP1A2,inhibitor,DrugBank,Not Specified,DB05812,,,
Abiraterone,CYP2C8,inhibitor,DrugBank,Not Specified,DB05812,,,
Abiraterone,CYP2D6,inhibitor,DrugBank,Not Specified,DB05812,,,
Abiraterone,CYP3A4,substrate,DrugBank,Not Specified,DB05812,,,
Abiraterone,CYP3A4,substrate,DrugBank,Not Specified,DB05812,,,
Abiraterone,CYP2D6,inhibitor,KEGG, Not Specified,,,, 
Acarbose,CYP2E1,inhibitor,SuperCYP,rat,,,,
Acarbose,CYP2E1,inducer,SuperCYP,rat,,,,
Acebutolol,CYP2D6,inhibitor,DrugBank,Not Specified,DB01193,,,
Acebutolol,CYP2D6,inhibitor,SuperCYP,human,,,,
Aceclofenac,CYP2C9,substrate,SuperCYP,human,,,,
Aceclofenac,CYP2C9,substrate,SuperCYP,human,,,,
Acenocoumarol,CYP1A2,substrate,DrugBank,Not Specified,DB01418,,,
Acenocoumarol,CYP2C9,"substrate,inhibitor",DrugBank,Not Specified,DB01418,,,
Acenocoumarol,CYP2C19,substrate,DrugBank,Not Specified,DB01418,,,
Acenocoumarol,CYP3A4,substrate,DrugBank,Not Specified,DB01418,,,
Acenocoumarol,CYP3A4,substrate,DrugBank,Not Specified,DB01418,,,
Acenocoumarol,CYP2C9,inhibitor,SuperCYP,human,,,,
Acenocoumarol,CYP2C9,substrate,SuperCYP,human,,,,
Acenocoumarol,CYP2C9,substrate,SuperCYP,human,,,,
Acetaminophen,CYP1A1,substrate,DrugBank,Not Specified,DB00316,,,
Acetaminophen,CYP1A2,substrate,DrugBank,Not Specified,DB00316,,,
acetaminophen,CYP1A2,substrate,Indiana University,Not Specified,,,,
Acetaminophen,CYP1A2,substrate,KEGG, Not Specified,,,, 
acetaminophen,CYP1A2,substrate,ildcare,Not Specified,,,,
Acetaminophen,CYP2A6,substrate,DrugBank,Not Specified,DB00316,,,
Acetaminophen,CYP2C8,substrate,DrugBank,Not Specified,DB00316,,,
Acetaminophen,CYP2C9,substrate,DrugBank,Not Specified,DB00316,,,
Acetaminophen,CYP2D6,substrate,DrugBank,Not Specified,DB00316,,,
Acetaminophen,CYP2E1,substrate,DrugBank,Not Specified,DB00316,,,
Acetaminophen,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB00316,,,
Acetaminophen,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB00316,,,
Acetaminophen,CYP1A2,substrate,KEGG, Not Specified,,,, 
Acetaminophen,SLC22A6,inhibitor,Transporter,,,,,
acetaminophen,CYP2E1,substrate,Indiana University,Not Specified,,,,
Acetazolamide,CYP3A4,inhibitor,DrugBank,Not Specified,DB00819,,,
Acetazolamide,CYP3A4,inhibitor,DrugBank,Not Specified,DB00819,,,
Acetazolamide,SLC22A6,inhibitor,Transporter,,,,,
Acetazolamide,CYP3A4,inhibitor,SuperCYP,human,,,,
Acetazolamide,CYP3A4,inhibitor,SuperCYP,human,,,,
Acetic acid,CYP2E1,substrate,SuperCYP,,,,,
Acetylcholin,CYP2D6,substrate,SuperCYP,human,,,,
Acetylcholine,CYP2D6,substrate,DrugBank,Not Specified,DB03128,,,
Acetylcholine,CYP2D6,substrate,SuperCYP,human,,,,
Acetylcysteine,SLCO1B1,inhibitor,Transporter,,,,,
Acetylcysteine,SLC01B1,inhibitor,Transporter,,,,,
Acetylsalicylic acid,CYP2C8,substrate,DrugBank,Not Specified,DB00945,,,
Acetylsalicylic acid,CYP2C9,substrate,DrugBank,Not Specified,DB00945,,,
Acetylsalicylic acid,CYP2C19,inducer,DrugBank,Not Specified,DB00945,,,
Acetylsalicylic acid,SLC22A6,inhibitor,Transporter,,,,,
Acetylsalicylic acid,CYP2C8,substrate,SuperCYP,human,,,,
Acetylsalicylic acid,CYP2C9,substrate,SuperCYP,human,,,,
Acetylsalicylic acid,CYP2C19,inducer,SuperCYP,human,,,,
Acetylsalicylic acid,CYP2C19,inducer,SuperCYP,human,,,,
Aciclovir,SLC22A6,"substrate,inhibitor",Transporter,,,,,
Aciclovir,SLC22A8,"substrate,inhibitor",Transporter,,,,,
Aciclovir,SLC47A1,substrate,Transporter,,,,,
Aciclovir,SLC47A2,substrate,Transporter,,,,,
acitretin,CYP3A4,inhibitor,ildcare,Not Specified,,,,
acitretin,CYP3A4,inhibitor,ildcare,Not Specified,,,,
Acitretin,CYP26A1,substrate,DrugBank,Not Specified,DB00459,,,
Acitretin,CYP26A1,substrate,SuperCYP,human,,,,
Acotiamide,CYP1A1,substrate,KEGG, Not Specified,,,, 
Acriflavinium chloride,CYP1A1,substrate,SuperCYP,human,,,,
Acriflavinium chloride,CYP1A2,substrate,SuperCYP,human,,,,
Acriflavinium chloride,CYP1B1,inducer,SuperCYP,human,,,,
Acyclovir,CYP1A2,inhibitor,KEGG, Not Specified,,,, Weak
Acyclovir,CYP1A2,inhibitor,KEGG, Not Specified,,,, Weak
Adefovir Dipivoxil,SLC22A6,"substrate,inhibitor",Transporter,,,,,
Adefovir Dipivoxil,SLC22A8,substrate,Transporter,,,,,
Adefovir dipivoxil,CYP2C9,inhibitor,SuperCYP,human,,,,
Adefovir dipivoxil,CYP3A4,inhibitor,SuperCYP,human,,,,
Adefovir dipivoxil,CYP3A4,inhibitor,SuperCYP,human,,,,
Ademetionin,CYP2E1,inhibitor,SuperCYP,human,,,,
Ademetionin,CYP2E1,substrate,SuperCYP,human,,,,
Ademetionin,CYP3A4,inhibitor,SuperCYP,human,,,,
Ademetionin,CYP3A4,inhibitor,SuperCYP,human,,,,
Ademetionine,CYP2E1,inhibitor,SuperCYP,human,,,,
Ademetionine,CYP2E1,substrate,SuperCYP,human,,,,
Ademetionine,CYP3A4,inhibitor,SuperCYP,human,,,,
Ademetionine,CYP3A4,inhibitor,SuperCYP,human,,,,
Adinazolam,CYP2C19,substrate,DrugBank,Not Specified,DB00546,,,
Adinazolam,CYP3A4,substrate,DrugBank,Not Specified,DB00546,,,
Adinazolam,CYP3A4,substrate,DrugBank,Not Specified,DB00546,,,
Adinazolam,CYP2C19,substrate,SuperCYP,human,,,,
Adinazolam,CYP2C19,substrate,SuperCYP,human,,,,
Adinazolam,CYP3A4,substrate,SuperCYP,human,,,,
Adinazolam,CYP3A4,substrate,SuperCYP,human,,,,
Adinazolam,CYP3A4,substrate,SuperCYP,human,,,,
Adinazolam,CYP3A4,substrate,SuperCYP,human,,,,
ado-trastuzumab emtansine,CYP3A5,substrate,DrugBank,Not Specified,DB05773,,,
ado-trastuzumab emtansine,CYP3A4,substrate,DrugBank,Not Specified,DB05773,,,
ado-trastuzumab emtansine,CYP3A4,substrate,DrugBank,Not Specified,DB05773,,,
ado-trastuzumab emtansine,CYP3A5,substrate,DrugBank,Not Specified,DB05773,,,
Adrenaline - lidocaine mixt,CYP1A2,substrate,KEGG, Not Specified,,,, 
Adrenaline - lidocaine mixt,CYP3A4,substrate,KEGG, Not Specified,,,, 
Adrenaline - lidocaine mixt,CYP3A4,substrate,KEGG, Not Specified,,,, 
Afatinib,ABCG2,"substrate,inhibitor",Transporter,,,,,
Agmatine,SLC22A2,substrate,Transporter,,,,,
Agomelatine,CYP1A2,inhibitor,DrugBank,Not Specified,DB06594,,,
Agomelatine,CYP2C9,inhibitor,DrugBank,Not Specified,DB06594,,,
Ajmaline,CYP2D6,"substrate,inhibitor",DrugBank,Not Specified,DB01426,,,
Ajmaline,CYP2D6,substrate,KEGG, Not Specified,,,, 
Ajmaline,CYP2D6,substrate,KEGG, Not Specified,,,, 
Ajmaline,CYP2D6,inhibitor,SuperCYP,human,,,,
Ajmaline,CYP2D6,substrate,SuperCYP,human,,,,
Albendazole,CYP1A1,inducer,DrugBank,Not Specified,DB00518,,,
Albendazole,CYP1A2,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB00518,,,
Albendazole,CYP3A4,substrate,DrugBank,Not Specified,DB00518,,,
Albendazole,CYP3A4,substrate,DrugBank,Not Specified,DB00518,,,
Albendazole,CYP1A1,inducer,SuperCYP,human,,,,
Albendazole,CYP1A2,inducer,SuperCYP,human,,,,
Albendazole,CYP1A2,inhibitor,SuperCYP,human,,,,
Albendazole,CYP1A2,substrate,SuperCYP,human,,,,
Albendazole,CYP3A4,substrate,SuperCYP,human,,,,
Albendazole,CYP3A4,substrate,SuperCYP,human,,,,
Albendazole,CYP3A4,substrate,SuperCYP,human,,,,
Albendazole,CYP3A4,substrate,SuperCYP,human,,,,
Alclometasone,CYP3A4,"substrate, inducer",DrugBank,Not Specified,DB00240,,,
Alclometasone,CYP3A4,"substrate, inducer",DrugBank,Not Specified,DB00240,,,
Alcohol,CYP2D6,substrate,KEGG, Not Specified,,,, 
Aldesleukin,CYP2E1,inhibitor,DrugBank,Not Specified,DB00041,,,
Aldesleukin,CYP3A4,inhibitor,DrugBank,Not Specified,DB00041,,,
Aldesleukin,CYP3A4,inhibitor,DrugBank,Not Specified,DB00041,,,
Aldosterone,CYP11B1,substrate,DrugBank,Not Specified,DB04630,,,
Aldosterone,CYP11B1,substrate,DrugBank,Not Specified,DB04630,,,
Aldosterone,CYP11B1,substrate,SuperCYP,human,,,,
Aldosterone,CYP3A5,substrate,SuperCYP,human,,,,
Aldosterone,CYP3A5,substrate,SuperCYP,human,,,,
Aldosterone,CYP11B1,substrate,SuperCYP,human,,,,
Aldosterone,CYP11B2,substrate,SuperCYP,human,,,,
Aldosterone,CYP11B2,substrate,SuperCYP,human,,,,
Aldosterone,CYP17A,inducer,SuperCYP,human,,,,
Aldosterone,CYP17A,inducer,SuperCYP,human,,,,
Alectinib,ABCG2,inhibitor,Transporter,,,,,
Alfacalcidol,CYP27A,substrate,SuperCYP,human,,,,
Alfentanil,CYP3A7,substrate,DrugBank,Not Specified,DB00802,,,
Alfentanil,CYP3A5,substrate,DrugBank,Not Specified,DB00802,,,
Alfentanil,CYP3A4,substrate,DrugBank,Not Specified,DB00802,,,
alfentanil,CYP3A4,substrate,Indiana University,Not Specified,,,,
alfentanil,CYP3A5,substrate,Indiana University,Not Specified,,,,
alfentanil,CYP3A7,substrate,Indiana University,Not Specified,,,,
Alfentanil,CYP3A,substrate,KEGG, Not Specified,,,, Narrow & Sensitive
Alfentanil,CYP3A,substrate,KEGG, Not Specified,,,, Narrow & Sensitive
alfentanil,CYP3A4,substrate,ildcare,Not Specified,,,,
Alfentanil,CYP3A4,substrate,DrugBank,Not Specified,DB00802,,,
alfentanil,CYP3A4,substrate,Indiana University,Not Specified,,,,
alfentanil,CYP3A4,substrate,ildcare,Not Specified,,,,
Alfentanil,CYP3A5,substrate,DrugBank,Not Specified,DB00802,,,
alfentanil,CYP3A5,substrate,Indiana University,Not Specified,,,,
Alfentanil,CYP3A7,substrate,DrugBank,Not Specified,DB00802,,,
alfentanil,CYP3A7,substrate,Indiana University,Not Specified,,,,
Alfentanil,CYP3A4,substrate,SuperCYP,human,,,,
Alfentanil,CYP3A4,substrate,SuperCYP,human,,,,
Alfentanil,CYP3A4,substrate,SuperCYP,,,,,
Alfentanil,CYP3A4,substrate,SuperCYP,human,,,,
Alfentanil,CYP3A5,substrate,SuperCYP,,,,,
Alfentanil,CYP3A5,substrate,SuperCYP,human,,,,
Alfentanil,CYP3A7,substrate,SuperCYP,,,,,
Alfentanil,CYP3A4,substrate,SuperCYP,human,,,,
Alfentanil,CYP3A4,substrate,SuperCYP,human,,,,
Alfentanil,CYP3A4,substrate,SuperCYP,,,,,
Alfentanil,CYP3A4,substrate,SuperCYP,human,,,,
Alfentanil,CYP3A5,substrate,SuperCYP,,,,,
Alfentanil,CYP3A5,substrate,SuperCYP,human,,,,
Alfentanil,CYP3A7,substrate,SuperCYP,,,,,
Alfuzosin,CYP3A4,substrate,DrugBank,Not Specified,DB00346,,,
Alfuzosin,CYP3A4,substrate,DrugBank,Not Specified,DB00346,,,
Alfuzosin,CYP3A4,substrate,SuperCYP,,,,,
Alfuzosin,CYP3A4,substrate,SuperCYP,,,,,
Alimemazine,CYP3A4,inducer,DrugBank,Not Specified,DB01246,,,
Alimemazine,CYP3A4,inducer,DrugBank,Not Specified,DB01246,,,
Aliskiren,CYP3A4,substrate,DrugBank,Not Specified,DB09026,,,
Aliskiren,CYP3A4,substrate,DrugBank,Not Specified,DB09026,,,
Alitretinoin,CYP1A2,inhibitor,DrugBank,Not Specified,DB00523,,,
Alitretinoin,CYP1A2,inhibitor,SuperCYP,human,,,,
Allicin,CYP2C19,inhibitor,KEGG, Not Specified,,,, Weak
Allopurinol,CYP1A2,inhibitor,KEGG, Not Specified,,,, Weak
Allopurinol,CYP1A2,inhibitor,KEGG, Not Specified,,,, Weak
Allopurinol,SLC22A8,substrate,Transporter,,,,,
Allopurinol,CYP2E1,inhibitor,SuperCYP,rat,,,,
Allopurinol,CYP1A2,inhibitor,KEGG, Not Specified,,,, Weak
Allylestrenol,CYP3A4,substrate,DrugBank,Not Specified,DB01431,,,
Allylestrenol,CYP3A4,substrate,DrugBank,Not Specified,DB01431,,,
Allylestrenol,CYP3A4,substrate,SuperCYP,human,,,,
Allylestrenol,CYP3A4,substrate,SuperCYP,human,,,,
Almorexant,CYP3A,inhibitor,KEGG, Not Specified,,,, 
Almotriptan,CYP1A2,substrate,DrugBank,Not Specified,DB00918,,,
Almotriptan,CYP2C8,substrate,DrugBank,Not Specified,DB00918,,,
Almotriptan,CYP2C19,substrate,DrugBank,Not Specified,DB00918,,,
Almotriptan,CYP2D6,substrate,DrugBank,Not Specified,DB00918,,,
Almotriptan,CYP2E1,substrate,DrugBank,Not Specified,DB00918,,,
Almotriptan,CYP3A4,substrate,DrugBank,Not Specified,DB00918,,,
almotriptan,CYP3A4,substrate,ildcare,Not Specified,,,,
Almotriptan,CYP3A4,substrate,DrugBank,Not Specified,DB00918,,,
almotriptan,CYP3A4,substrate,ildcare,Not Specified,,,,
Almotriptan,CYP2D6,substrate,SuperCYP,human,,,,
Almotriptan,CYP2D6,substrate,SuperCYP,human,,,,
Almotriptan,CYP3A4,substrate,SuperCYP,human,,,,
Almotriptan,CYP3A4,substrate,SuperCYP,human,,,,
Almotriptan,CYP3A4,substrate,SuperCYP,human,,,,
Almotriptan,CYP3A4,substrate,SuperCYP,human,,,,
Alogliptin,CYP2D6,substrate,DrugBank,Not Specified,DB06203,,,
Alogliptin,CYP3A4,substrate,DrugBank,Not Specified,DB06203,,,
Alogliptin,CYP3A4,substrate,DrugBank,Not Specified,DB06203,,,
Alosetron,CYP1A2,substrate,DrugBank,Not Specified,DB00969,,,
Alosetron,CYP1A2,substrate,KEGG, Not Specified,,,, Sensitive
Alosetron,CYP1A2,substrate,KEGG, Not Specified,,,, Sensitive
Alosetron,CYP2C9,substrate,DrugBank,Not Specified,DB00969,,,
Alosetron,CYP2E1,inhibitor,DrugBank,Not Specified,DB00969,,,
Alosetron,CYP3A4,substrate,DrugBank,Not Specified,DB00969,,,
Alosetron,CYP3A4,substrate,DrugBank,Not Specified,DB00969,,,
Alosetron,CYP1A2,substrate,SuperCYP,human,,,,
Alosetron,CYP2C9,substrate,SuperCYP,human,,,,
Alosetron,CYP2C9,substrate,SuperCYP,human,,,,
Alosetron,CYP2E1,inhibitor,SuperCYP,human,,,,
Alosetron,CYP3A4,substrate,SuperCYP,human,,,,
Alosetron,CYP3A4,substrate,SuperCYP,human,,,,
Alosetron,CYP3A4,substrate,SuperCYP,human,,,,
Alosetron,CYP3A4,substrate,SuperCYP,human,,,,
Alprazolam,CYP2C9,substrate,DrugBank,Not Specified,DB00404,,,
Alprazolam,CYP3A7,substrate,DrugBank,Not Specified,DB00404,,,
Alprazolam,CYP3A5,substrate,DrugBank,Not Specified,DB00404,,,
Alprazolam,CYP3A4,substrate,DrugBank,Not Specified,DB00404,,,
alprazolam,CYP3A4,substrate,Indiana University,Not Specified,,,,
alprazolam,CYP3A5,substrate,Indiana University,Not Specified,,,,
alprazolam,CYP3A7,substrate,Indiana University,Not Specified,,,,
Alprazolam,CYP3A,inhibitor,KEGG, Not Specified,,,, Weak
Alprazolam,CYP3A4,substrate,KEGG, Not Specified,,,, 
Alprazolam,CYP3A,substrate,KEGG, Not Specified,,,, 
alprazolam,CYP3A4,substrate,ildcare,Not Specified,,,,
Alprazolam,CYP3A4,substrate,DrugBank,Not Specified,DB00404,,,
alprazolam,CYP3A4,substrate,Indiana University,Not Specified,,,,
Alprazolam,CYP3A4,substrate,KEGG, Not Specified,,,, 
alprazolam,CYP3A4,substrate,ildcare,Not Specified,,,,
Alprazolam,CYP3A5,substrate,DrugBank,Not Specified,DB00404,,,
alprazolam,CYP3A5,substrate,Indiana University,Not Specified,,,,
Alprazolam,CYP3A7,substrate,DrugBank,Not Specified,DB00404,,,
alprazolam,CYP3A7,substrate,Indiana University,Not Specified,,,,
Alprazolam,CYP3A,inhibitor,KEGG, Not Specified,,,, Weak
Alprazolam,CYP3A4,substrate,KEGG, Not Specified,,,, 
Alprazolam,CYP3A,substrate,KEGG, Not Specified,,,, 
Alprazolam,CYP3A4,substrate,SuperCYP,human,,,,
Alprazolam,CYP3A4,substrate,SuperCYP,human,,,,
Alprazolam,CYP3A4,substrate,SuperCYP,human,,,,
Alprazolam,CYP3A5,substrate,SuperCYP,human,,,,
Alprazolam,CYP3A5,substrate,SuperCYP,,,,,
Alprazolam,CYP3A7,substrate,SuperCYP,,,,,
Alprazolam,CYP3A4,substrate,SuperCYP,human,,,,
Alprazolam,CYP3A4,substrate,SuperCYP,human,,,,
Alprazolam,CYP3A4,substrate,SuperCYP,human,,,,
Alprazolam,CYP3A5,substrate,SuperCYP,human,,,,
Alprazolam,CYP3A5,substrate,SuperCYP,,,,,
Alprazolam,CYP3A7,substrate,SuperCYP,,,,,
Alprenolol,CYP2D6,substrate,DrugBank,Not Specified,DB00866,,,
alprenolol,CYP2D6,substrate,Indiana University,Not Specified,,,,
Alprenolol,CYP2D6,substrate,KEGG, Not Specified,,,, 
Alprenolol,CYP2D6,substrate,KEGG, Not Specified,,,, 
Alprenolol,CYP2D6,substrate,KEGG, Not Specified,,,, 
Alprenolol,CYP2D6,substrate,SuperCYP,human,,,,
Alprenolol,CYP2D6,substrate,SuperCYP,,,,,
Alum,CYP1A1,substrate,SuperCYP,human,,,,
Alum,CYP1A1,inducer,SuperCYP,human,,,,
Amantadine,SLC22A2,inhibitor,Transporter,,,,,
Ambrisentan,SLCO1B1,substrate,Transporter,,,,,
Ambrisentan,SLC01B1,substrate,Transporter,,,,,
Ambrisentan,SLC01B3,substrate,Transporter,,,,,
Ambroxol,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB06742,,,
Ambroxol,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB06742,,,
Ambroxol,CYP3A4,inhibitor,SuperCYP,human,,,,
Ambroxol,CYP3A4,substrate,SuperCYP,human,,,,
Ambroxol,CYP3A4,substrate,SuperCYP,human,,,,
Ambroxol,CYP3A4,inhibitor,SuperCYP,human,,,,
Ambroxol,CYP3A4,substrate,SuperCYP,human,,,,
Ambroxol,CYP3A4,substrate,SuperCYP,human,,,,
Amfetamine,CYP2D6,substrate,KEGG, Not Specified,,,, 
Amfetamine,CYP2A6,inhibitor,SuperCYP,human,,,,
Amfetamine,CYP2D6,substrate,SuperCYP,human,,,,
Amfetamine,CYP2D6,inhibitor,SuperCYP,human,,,,
Amfetamine,CYP2D6,substrate,SuperCYP,,,,,
Amiloride,SLC22A2,inhibitor,Transporter,,,,,
Amiloride,CYP1A1,inhibitor,SuperCYP,rat,,,,
Aminobutyric acid,CYP2D6,substrate,SuperCYP,,,,,
Aminoglutethimide,CYP1A2,inducer,DrugBank,Not Specified,DB00357,,,
Aminoglutethimide,CYP2C19,inducer,DrugBank,Not Specified,DB00357,,,
Aminoglutethimide,CYP3A4,inducer,DrugBank,Not Specified,DB00357,,,
aminoglutethimide,CYP3A4,Inducer,ildcare,Not Specified,,,,
Aminoglutethimide,CYP3A4,inducer,DrugBank,Not Specified,DB00357,,,
aminoglutethimide,CYP3A4,Inducer,ildcare,Not Specified,,,,
Aminogluthetimide,CYP1A2,inducer,SuperCYP,human,,,,
Aminogluthetimide,CYP11B1,inhibitor,SuperCYP,,,,,
Aminogluthetimide,CYP2C19,inducer,SuperCYP,human,,,,
Aminogluthetimide,CYP3A4,inducer,SuperCYP,human,,,,
Aminogluthetimide,CYP3A4,inducer,SuperCYP,human,,,,
Aminogluthetimide,CYP11A,inhibitor,SuperCYP,human,,,,
Aminogluthetimide,CYP11A,inhibitor,SuperCYP,,,,,
Aminogluthetimide,CYP11B1,inhibitor,SuperCYP,,,,,
Aminogluthetimide,CYP11B2,inhibitor,SuperCYP,human,,,,
Aminogluthetimide,CYP17A,inhibitor,SuperCYP,,,,,
Aminogluthetimide,CYP19A,inhibitor,SuperCYP,human,,,,
Aminogluthetimide,CYP17A,inhibitor,SuperCYP,,,,,
Aminoguanidine,SLC22A2,inhibitor,Transporter,,,,,
Aminohippuric acid,SLCO1B1,inhibitor,Transporter,,,,,
Aminohippuric acid,SLC01B1,inhibitor,Transporter,,,,,
Aminohippuric acid,SLC22A6,"substrate,inhibitor",Transporter,,,,,
Aminohippuric acid,SLC22A8,"substrate,inhibitor",Transporter,,,,,
Aminohippuric acid,SLC22A2,inhibitor,Transporter,,,,,
Aminophenazone,CYP1A2,substrate,DrugBank,Not Specified,DB01424,,,
Aminophenazone,CYP2C8,substrate,DrugBank,Not Specified,DB01424,,,
Aminophenazone,CYP2C9,"substrate,inhibitor",DrugBank,Not Specified,DB01424,,,
Aminophenazone,CYP2C18,substrate,DrugBank,Not Specified,DB01424,,,
Aminophenazone,CYP2C19,"substrate,inhibitor",DrugBank,Not Specified,DB01424,,,
Aminophenazone,CYP2D6,substrate,DrugBank,Not Specified,DB01424,,,
Aminophenazone,CYP3A7,substrate,DrugBank,Not Specified,DB01424,,,
Aminophenazone,CYP3A4,substrate,DrugBank,Not Specified,DB01424,,,
Aminophenazone,CYP3A4,substrate,DrugBank,Not Specified,DB01424,,,
Aminophenazone,CYP3A7,substrate,DrugBank,Not Specified,DB01424,,,
Aminophenazone,SLC22A6,inhibitor,Transporter,,,,,
Aminophenazone,CYP1A2,substrate,SuperCYP,human,,,,
Aminophenazone,CYP2C8,substrate,SuperCYP,human,,,,
Aminophenazone,CYP2C9,inhibitor,SuperCYP,human,,,,
Aminophenazone,CYP2C18,substrate,SuperCYP,human,,,,
Aminophenazone,CYP2C18,substrate,SuperCYP,human,,,,
Aminophenazone,CYP2C19,substrate,SuperCYP,human,,,,
Aminophenazone,CYP2C19,inhibitor,SuperCYP,human,,,,
Aminophenazone,CYP2D6,substrate,SuperCYP,human,,,,
Aminophenazone,CYP3A4,substrate,SuperCYP,human,,,,
Aminophenazone,CYP3A7,substrate,SuperCYP,human,,,,
Aminophenazone,CYP3A4,substrate,SuperCYP,human,,,,
Aminophenazone,CYP3A7,substrate,SuperCYP,human,,,,
Aminophenazone,CYP17A,substrate,SuperCYP,human,,,,
Aminophenazone,CYP17A,substrate,SuperCYP,human,,,,
Aminophylline,CYP1A2,substrate,DrugBank,Not Specified,DB01223,,,
Aminophylline,CYP2E1,substrate,DrugBank,Not Specified,DB01223,,,
Aminophylline,CYP3A4,substrate,DrugBank,Not Specified,DB01223,,,
Aminophylline,CYP3A4,substrate,DrugBank,Not Specified,DB01223,,,
Aminophylline,CYP1A2,substrate,SuperCYP,human,,,,
Aminophylline,CYP1A2,substrate,SuperCYP,human,,,,
Aminophylline,CYP2E1,substrate,SuperCYP,human,,,,
Aminophylline,CYP3A4,substrate,SuperCYP,human,,,,
Aminophylline,CYP3A4,substrate,SuperCYP,human,,,,
Aminophylline,CYP1A2,substrate,KEGG, Not Specified,,,, 
Aminophylline,CYP1A2,substrate,KEGG, Not Specified,,,, 
Aminosalicylic acid,CYP11B2,inducer,SuperCYP,,,,,
Amiodarone,CYP1A1,substrate,DrugBank,Not Specified,DB01118,,,
Amiodarone,CYP1A2,"substrate,inhibitor",DrugBank,Not Specified,DB01118,,,
amiodarone,CYP1A2,inhibitor,Indiana University,Not Specified,,,,
Amiodarone,CYP1A2,inhibitor,KEGG, Not Specified,,,, Weak
Amiodarone,CYP1A2,inhibitor,KEGG, Not Specified,,,, Weak
Amiodarone,CYP1A2,substrate,KEGG, Not Specified,,,, 
Amiodarone,CYP1A2,substrate,KEGG, Not Specified,,,, 
amiodarone,CYP1A2,Inhibitor,ildcare,Not Specified,,,,
